time	V(out)
0.000000000000000e+000	2.499995e-007
7.142856940843350e-011	6.608926e-006
1.428571388168670e-010	2.346544e-005
2.142857082253005e-010	5.081954e-005
2.857142776337340e-010	8.867122e-005
3.571428470421675e-010	1.370205e-004
4.285714164506010e-010	1.958674e-004
4.999999858590343e-010	2.652118e-004
9.999999717180685e-010	8.259144e-004
1.000000000000000e-009	8.259144e-004
1.000000169691589e-009	8.259147e-004
1.000001753479755e-009	8.259172e-004
1.271139822961520e-009	1.226077e-003
1.542277892443286e-009	1.596388e-003
1.813415961925051e-009	1.936851e-003
2.084554031406816e-009	2.247466e-003
2.355692100888582e-009	2.528232e-003
2.626830170370347e-009	2.779150e-003
2.897968239852112e-009	3.000219e-003
4.359038561555240e-009	3.995217e-003
5.927421031902321e-009	4.642772e-003
7.844146479101337e-009	5.026830e-003
9.940789396008511e-009	5.146999e-003
1.257410721648194e-008	5.059018e-003
1.561836587126258e-008	4.809491e-003
1.960863720354264e-008	4.400548e-003
2.458946792967712e-008	3.883876e-003
3.178803145651658e-008	3.209546e-003
4.280468821261587e-008	2.354253e-003
5.836859287193201e-008	1.419671e-003
7.726142085313894e-008	5.771297e-004
9.485586202777828e-008	3.506491e-006
1.169689407714276e-007	-5.337347e-004
1.407740129132345e-007	-9.864306e-004
1.719317908685403e-007	-1.472460e-003
2.074381169081866e-007	-1.957872e-003
2.560276025635767e-007	-2.573527e-003
4.025119775635768e-007	-4.349286e-003
1.059438837911638e-006	-1.204191e-002
1.716365698259698e-006	-1.945554e-002
2.373292558607759e-006	-2.659018e-002
3.030219418955820e-006	-3.344583e-002
3.687146279303880e-006	-4.002249e-002
4.344073139651941e-006	-4.632015e-002
5.001000000000000e-006	-5.233883e-002
5.001039138179809e-006	-5.234288e-002
5.001117414539427e-006	-5.235908e-002
5.001273967258663e-006	-5.242963e-002
5.001587072697135e-006	-5.269102e-002
5.002000000000001e-006	-5.317584e-002
5.002123878190861e-006	-5.336711e-002
5.002289049112007e-006	-5.360923e-002
5.002619390954298e-006	-5.405092e-002
5.003280074638883e-006	-5.478945e-002
5.004601442008051e-006	-5.591016e-002
5.005960290960540e-006	-5.667897e-002
5.007763612032141e-006	-5.725389e-002
5.009589126654711e-006	-5.751582e-002
5.011998870180490e-006	-5.757118e-002
5.014584614752589e-006	-5.744974e-002
5.018081281944937e-006	-5.715607e-002
5.022127215239889e-006	-5.676962e-002
5.027924326131485e-006	-5.623393e-002
5.035638148604870e-006	-5.562283e-002
5.049983497839051e-006	-5.472230e-002
5.063388552631276e-006	-5.409844e-002
5.080493460319377e-006	-5.354628e-002
5.099005625048570e-006	-5.313965e-002
5.121747861117519e-006	-5.281212e-002
5.146732933439423e-006	-5.257707e-002
5.178309355971140e-006	-5.237911e-002
