time	V(in)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	7.180788e-006
2.285714312425366e-007	1.436156e-005
3.428571468638050e-007	2.154233e-005
4.571428624850733e-007	2.872308e-005
5.714285781063416e-007	3.590382e-005
6.857142937276099e-007	4.308455e-005
8.000000093488779e-007	5.026527e-005
1.600000018697756e-006	1.005293e-004
3.200000037395512e-006	2.010484e-004
6.400000074791024e-006	4.020155e-004
1.108020595604543e-005	6.956276e-004
1.596301845604543e-005	1.001305e-003
2.363600952747400e-005	1.482352e-003
3.130900059890258e-005	1.957238e-003
3.898199167033115e-005	2.425963e-003
4.665498274175972e-005	2.888526e-003
5.432797381318830e-005	3.344928e-003
6.200096488461687e-005	3.795168e-003
6.967395595604542e-005	4.239248e-003
8.292730417033115e-005	4.988945e-003
9.618065238461689e-005	5.692811e-003
1.094340005989026e-004	6.350846e-003
1.226873488131883e-004	6.963050e-003
1.359406970274741e-004	7.529423e-003
1.491940452417598e-004	8.049964e-003
1.624473934560455e-004	8.524674e-003
1.910467238131884e-004	9.322141e-003
2.196460541703313e-004	9.809670e-003
2.482453845274742e-004	9.987260e-003
2.768447148846171e-004	9.854911e-003
3.054440452417600e-004	9.412624e-003
3.340433755989029e-004	8.660398e-003
3.626427059560457e-004	7.598233e-003
3.745009648846171e-004	7.084923e-003
3.863592238131885e-004	6.540367e-003
3.982174827417600e-004	5.964564e-003
4.100757416703315e-004	5.357516e-003
4.219340005989029e-004	4.719221e-003
4.337922595274743e-004	4.049681e-003
4.456505184560457e-004	3.348894e-003
4.526259648846172e-004	2.930781e-003
4.596014113131886e-004	2.509085e-003
4.665768577417600e-004	2.083805e-003
4.735523041703315e-004	1.654941e-003
4.805277505989029e-004	1.222494e-003
4.875031970274743e-004	7.864624e-004
4.944786434560457e-004	3.468475e-004
4.979663666703314e-004	1.275106e-004
5.014540898846171e-004	-9.162470e-005
5.049418130989028e-004	-3.105584e-004
5.084295363131887e-004	-5.292906e-004
5.119172595274744e-004	-7.478213e-004
5.154049827417601e-004	-9.661503e-004
5.188927059560458e-004	-1.184278e-003
5.272632416703315e-004	-1.708123e-003
5.356337773846172e-004	-2.223747e-003
5.440043130989030e-004	-2.731149e-003
5.523748488131887e-004	-3.230330e-003
5.607453845274744e-004	-3.721290e-003
5.691159202417601e-004	-4.204029e-003
5.774864559560458e-004	-4.678546e-003
5.914373488131887e-004	-5.446496e-003
6.053882416703315e-004	-6.160157e-003
6.193391345274745e-004	-6.819529e-003
6.332900273846173e-004	-7.424613e-003
6.472409202417602e-004	-7.975408e-003
6.611918130989031e-004	-8.471915e-003
6.751427059560459e-004	-8.914133e-003
