Freq.	V(fb)/V(in)
Step Information: K=200m  (Run: 1/7)
1.25892541179415e+005	-1.22497335525162e-003,-8.88999246186984e-003
1.41253754462274e+005	-1.25872154121372e-003,-7.87381770714202e-003
1.58489319246110e+005	-1.28159876062757e-003,-6.96258112442646e-003
1.77827941003891e+005	-1.29493502039260e-003,-6.14457773145831e-003
1.99526231496886e+005	-1.29961423673287e-003,-5.40941584355768e-003
2.23872113856832e+005	-1.29615078052415e-003,-4.74791724425471e-003
2.51188643150955e+005	-1.28475916516361e-003,-4.15203590276727e-003
2.81838293126442e+005	-1.26542420166750e-003,-3.61479271485716e-003
3.16227766016835e+005	-1.23797868336147e-003,-3.13022147029240e-003
3.54813389233572e+005	-1.20219446974773e-003,-2.69331822474921e-003
3.98107170553493e+005	-1.15788991658774e-003,-2.29998288685725e-003
4.46683592150958e+005	-1.10505124787090e-003,-1.94693919859439e-003
5.01187233627267e+005	-1.04395764172954e-003,-1.63161921382854e-003
5.62341325190343e+005	-9.75290865001050e-004,-1.35200303434470e-003
6.30957344480186e+005	-9.00203480229492e-004,-1.10641530203107e-003
7.07945784384130e+005	-8.20319509804581e-004,-8.93295614203273e-004
7.94328234724273e+005	-7.37651624102437e-004,-7.10975791882158e-004
8.91250938133736e+005	-6.54439005038100e-004,-5.57505268787433e-004
9.99999999999989e+005	-5.72933701757415e-004,-4.30560409310520e-004
1.12201845430195e+006	-4.95180331215701e-004,-3.27453848382979e-004
1.25892541179415e+006	-4.22835996666995e-004,-2.45233227229689e-004
1.41253754462274e+006	-3.57063242887775e-004,-1.80836367631732e-004
1.58489319246110e+006	-2.98505735117073e-004,-1.31260755433724e-004
1.77827941003890e+006	-2.47334506660373e-004,-9.37106217962907e-005
1.99526231496886e+006	-2.03339679872402e-004,-6.56995801550766e-005
2.23872113856831e+006	-1.66040309690717e-004,-4.51030159320908e-005
2.51188643150955e+006	-1.34790464709999e-004,-3.01665514550840e-005
2.81838293126442e+006	-1.08868247942658e-004,-1.94829307885755e-005
3.16227766016834e+006	-8.75424920324053e-005,-1.19505025107070e-005
3.54813389233571e+006	-7.01175348299242e-005,-6.72423626571928e-006
3.98107170553492e+006	-5.59595494438952e-005,-3.16686866346422e-006
4.46683592150958e+006	-4.45089517206709e-005,-8.04608019078033e-007
5.01187233627266e+006	-3.52832240748235e-005,7.10599049765111e-007
5.62341325190342e+006	-2.78737341915478e-005,1.63183100467697e-006
6.30957344480185e+006	-2.19392187747824e-005,2.14147830499379e-006
7.07945784384129e+006	-1.71977722666305e-005,2.36995990813790e-006
7.94328234724271e+006	-1.34185166477232e-005,2.40988409500679e-006
8.91250938133734e+006	-1.04136420687857e-005,2.32661142751576e-006
1.00000000000000e+007	-8.03117517405069e-006,2.16604560050901e-006
Step Information: K=300m  (Run: 2/7)
1.00000000000000e-001	5.94772828651560e-008,1.88870459721836e-004
1.12201845430196e-001	7.48774613291210e-008,2.11916136445250e-004
1.25892541179417e-001	9.42651364695696e-008,2.37773809026118e-004
1.41253754462275e-001	1.18672771994291e-007,2.66786592029593e-004
1.58489319246111e-001	1.49400162402778e-007,2.99339465990243e-004
1.77827941003892e-001	1.88083651546680e-007,3.35864385692891e-004
1.99526231496888e-001	2.36783273532222e-007,3.76846011700204e-004
2.23872113856834e-001	2.98092456454577e-007,4.22828141150815e-004
2.51188643150958e-001	3.75276130959878e-007,4.74420923118221e-004
2.81838293126445e-001	4.72444598216335e-007,5.32308954213792e-004
3.16227766016838e-001	5.94772416075982e-007,5.97260361772755e-004
3.54813389233575e-001	7.48773959403125e-007,6.70136995031603e-004
3.98107170553497e-001	9.42650328353204e-007,7.51905859358328e-004
4.46683592150963e-001	1.18672607745130e-006,8.43651945021530e-004
5.01187233627272e-001	1.49399902085514e-006,9.46592620390491e-004
5.62341325190348e-001	1.88083238971843e-006,1.06209378007792e-003
6.30957344480192e-001	2.36782619645617e-006,1.19168796162727e-003
7.07945784384137e-001	2.98091420115035e-006,1.33709467018968e-003
7.94328234724280e-001	3.75274488474162e-006,1.50024317954162e-003
8.91250938133744e-001	4.72441995055438e-006,1.68329811009882e-003
9.99999999999999e-001	5.94768290351045e-006,1.88868812064743e-003
1.12201845430196e+000	7.48767420583819e-006,2.11913809072353e-003
1.25892541179417e+000	9.42639965051053e-006,2.37770521532714e-003
1.41253754462275e+000	1.18670965278025e-005,2.66781948336301e-003
1.58489319246111e+000	1.49397298961748e-005,2.99332906625029e-003
1.77827941003892e+000	1.88079113320991e-005,3.35855120389327e-003
1.99526231496888e+000	2.36776080974128e-005,3.76832924192981e-003
2.23872113856834e+000	2.98081057107814e-005,4.22809654701178e-003
2.51188643150958e+000	3.75258064391563e-005,4.74394810573097e-003
2.81838293126445e+000	4.72415964991882e-005,5.32272069724084e-003
3.16227766016837e+000	5.94727036185117e-005,5.97208261865394e-003
3.54813389233575e+000	7.48702038542896e-005,6.70063403413039e-003
3.98107170553496e+000	9.42536344304333e-005,7.51801911024361e-003
4.46683592150962e+000	1.18654543056027e-004,8.43505118702988e-003
5.01187233627271e+000	1.49371272610387e-004,9.46385230892994e-003
5.62341325190348e+000	1.88037866561383e-004,1.06180084918914e-002
6.30957344480192e+000	2.36710713709544e-004,1.19127421164273e-002
7.07945784384136e+000	2.97977465840722e-004,1.33651027884249e-002
7.94328234724279e+000	3.75093900983524e-004,1.49941778668067e-002
8.91250938133743e+000	4.72155818804317e-004,1.68213235722737e-002
9.99999999999997e+000	5.94314802637058e-004,1.88704170967631e-002
1.12201845430196e+001	7.48048832763149e-004,2.11681293334162e-002
1.25892541179416e+001	9.41501362849694e-004,2.37442166074914e-002
1.41253754462275e+001	1.18490565373741e-003,2.66318279221594e-002
1.58489319246111e+001	1.49111496802846e-003,2.98678214791195e-002
1.77827941003892e+001	1.87626371537879e-003,3.34930802340329e-002
1.99526231496887e+001	2.36058980273861e-003,3.75528105123069e-002
2.23872113856833e+001	2.96945419073532e-003,4.20967995840512e-002
2.51188643150957e+001	3.73459972047366e-003,4.71795967072036e-002
2.81838293126444e+001	4.69569709790400e-003,5.28605663675355e-002
3.16227766016837e+001	5.90223047735532e-003,5.92037408602847e-002
3.54813389233574e+001	7.41577660063091e-003,6.62773702830339e-002
3.98107170553496e+001	9.31272701987320e-003,7.41530295842714e-002
4.46683592150961e+001	1.16874879940545e-002,8.29040927892676e-002
5.01187233627270e+001	1.46561602952057e-002,9.26033228768074e-002
5.62341325190347e+001	1.83606413975521e-002,1.03319252859114e-001
6.30957344480191e+001	2.29729916544146e-002,1.15110954182186e-001
7.07945784384135e+001	2.86997467144951e-002,1.28020714552966e-001
7.94328234724278e+001	3.57856211622704e-002,1.42064102650781e-001
8.91250938133742e+001	4.45157166622367e-002,1.57216924069283e-001
9.99999999999995e+001	5.52149189338206e-002,1.73398738017327e-001
1.12201845430196e+002	6.82426722035518e-002,1.90453001764298e-001
1.25892541179416e+002	8.39808512324216e-002,2.08124651746504e-001
1.41253754462275e+002	1.02812203134121e-001,2.26037113307063e-001
1.58489319246111e+002	1.25087122700228e-001,2.43672362227829e-001
1.77827941003891e+002	1.51077775945053e-001,2.60359537053919e-001
1.99526231496887e+002	1.80921186798529e-001,2.75279168298895e-001
2.23872113856833e+002	2.14556922122726e-001,2.87490383301958e-001
2.51188643150957e+002	2.51669796191755e-001,2.95986270819307e-001
2.81838293126444e+002	2.91651892122646e-001,2.99777117182500e-001
3.16227766016836e+002	3.33598705187750e-001,2.97992908604425e-001
3.54813389233574e+002	3.76349225767028e-001,2.89987775874596e-001
3.98107170553495e+002	4.18569236604113e-001,2.75423982442153e-001
4.46683592150961e+002	4.58864157392034e-001,2.54315303743328e-001
5.01187233627270e+002	4.95897948096154e-001,2.27019871640698e-001
5.62341325190346e+002	5.28492763133498e-001,1.94187148347752e-001
6.30957344480190e+002	5.55691310088518e-001,1.56676423812910e-001
7.07945784384134e+002	5.76776738276781e-001,1.15469908321950e-001
7.94328234724277e+002	5.91257657423414e-001,7.16007860646121e-002
8.91250938133740e+002	5.98833999397422e-001,2.61080340313099e-002
9.99999999999994e+002	5.99361348727757e-001,-1.99804787993292e-002
1.12201845430196e+003	5.92828158435804e-001,-6.56437761581711e-002
1.25892541179416e+003	5.79354012917690e-001,-1.09855091280184e-001
1.41253754462275e+003	5.59209568683175e-001,-1.51575360549367e-001
1.58489319246110e+003	5.32851183854726e-001,-1.89766111918286e-001
1.77827941003891e+003	5.00956670033842e-001,-2.23430054171786e-001
1.99526231496887e+003	4.64444735737872e-001,-2.51679444715829e-001
2.23872113856832e+003	4.24461638329871e-001,-2.73822083857244e-001
2.51188643150956e+003	3.82325688822475e-001,-2.89445630121702e-001
2.81838293126443e+003	3.39432534247018e-001,-2.98477000277507e-001
3.16227766016836e+003	2.97137433004163e-001,-3.01197897609181e-001
3.54813389233573e+003	2.56639287068367e-001,-2.98209387420722e-001
3.98107170553494e+003	2.18890927790174e-001,-2.90353211684085e-001
4.46683592150960e+003	1.84551359443305e-001,-2.78608866554783e-001
5.01187233627269e+003	1.53982794151082e-001,-2.63989106602854e-001
5.62341325190345e+003	1.27284037292447e-001,-2.47452457111045e-001
6.30957344480189e+003	1.04345786860299e-001,-2.29842874376968e-001
7.07945784384133e+003	8.49131236912713e-002,-2.11858062494689e-001
7.94328234724276e+003	6.86439787467899e-002,-1.94041917582060e-001
8.91250938133739e+003	5.51571560315614e-002,-1.76793879231031e-001
9.99999999999992e+003	4.40677182090097e-002,-1.60387936463497e-001
1.12201845430195e+004	3.50103935314454e-002,-1.44995472873229e-001
1.25892541179416e+004	2.76531175380516e-002,-1.30708014788842e-001
1.41253754462274e+004	2.17032434463455e-002,-1.17557644152158e-001
1.58489319246110e+004	1.69087704244102e-002,-1.05534101632506e-001
1.77827941003891e+004	1.30564890871778e-002,-9.45984169636993e-002
1.99526231496886e+004	9.96844233797817e-003,-8.46933510750245e-002
2.23872113856832e+004	7.49765515476709e-003,-7.57511314497204e-002
2.51188643150956e+004	5.52373784097797e-003,-6.76990066329064e-002
2.81838293126443e+004	3.94871469074266e-003,-6.04631093715647e-002
3.16227766016835e+004	2.69325870990792e-003,-5.39710464554091e-002
3.54813389233572e+004	1.69340352331625e-003,-4.81535535001632e-002
3.98107170553494e+004	8.97737943249459e-004,-4.29454782538188e-002
4.46683592150959e+004	2.65052501882416e-004,-3.82862922078475e-002
5.01187233627268e+004	-2.37610037965096e-004,-3.41202786929183e-002
5.62341325190344e+004	-6.36553968242894e-004,-3.03965054162105e-002
6.30957344480187e+004	-9.52732698522002e-004,-2.70686588711531e-002
7.07945784384131e+004	-1.20280235095642e-003,-2.40947953526097e-002
7.94328234724274e+004	-1.39996991982573e-003,-2.14370467147770e-002
8.91250938133737e+004	-1.55467295090222e-003,-1.90613070555745e-002
9.99999999999990e+004	-1.67512189782136e-003,-1.69369180284120e-002
1.12201845430195e+005	-1.76773111876063e-003,-1.50363645596152e-002
1.25892541179415e+005	-1.83746003287743e-003,-1.33349886928048e-002
1.41253754462274e+005	-1.88808231182059e-003,-1.18107265607130e-002
1.58489319246110e+005	-1.92239814094136e-003,-1.04438716866397e-002
1.77827941003891e+005	-1.94240253058889e-003,-9.21686659718747e-003
1.99526231496886e+005	-1.94942135509930e-003,-8.11412376533651e-003
2.23872113856832e+005	-1.94422617078623e-003,-7.12187586638207e-003
2.51188643150955e+005	-1.92713874774541e-003,-6.22805385415090e-003
2.81838293126442e+005	-1.89813630250124e-003,-5.42218907228574e-003
3.16227766016835e+005	-1.85696802504221e-003,-4.69533220543859e-003
3.54813389233572e+005	-1.80329170462160e-003,-4.03997733712382e-003
3.98107170553493e+005	-1.73683487488160e-003,-3.44997433028588e-003
4.46683592150958e+005	-1.65757687180635e-003,-2.92040879789159e-003
5.01187233627267e+005	-1.56593646259430e-003,-2.44742882074281e-003
5.62341325190343e+005	-1.46293629750158e-003,-2.02800455151706e-003
6.30957344480186e+005	-1.35030522034424e-003,-1.65962295304660e-003
7.07945784384130e+005	-1.23047926470687e-003,-1.33994342130491e-003
7.94328234724273e+005	-1.10647743615366e-003,-1.06646368782324e-003
8.91250938133736e+005	-9.81658507557150e-004,-8.36257903181149e-004
9.99999999999989e+005	-8.59400552636123e-004,-6.45840613965779e-004
1.12201845430195e+006	-7.42770496823551e-004,-4.91180772574468e-004
1.25892541179415e+006	-6.34253995000493e-004,-3.67849840844533e-004
1.41253754462274e+006	-5.35594864331663e-004,-2.71254551447598e-004
1.58489319246110e+006	-4.47758602675610e-004,-1.96891133150586e-004
1.77827941003890e+006	-3.71001759990559e-004,-1.40565932694436e-004
1.99526231496886e+006	-3.05009519808603e-004,-9.85493702326149e-005
2.23872113856831e+006	-2.49060464536075e-004,-6.76545238981362e-005
2.51188643150955e+006	-2.02185697064998e-004,-4.52498271826260e-005
2.81838293126442e+006	-1.63302371913987e-004,-2.92243961828632e-005
3.16227766016834e+006	-1.31313738048608e-004,-1.79257537660604e-005
3.54813389233571e+006	-1.05176302244886e-004,-1.00863543985789e-005
3.98107170553492e+006	-8.39393241658429e-005,-4.75030299519633e-006
4.46683592150958e+006	-6.67634275810063e-005,-1.20691202861705e-006
5.01187233627266e+006	-5.29248361122353e-005,1.06589857464767e-006
5.62341325190342e+006	-4.18106012873217e-005,2.44774650701546e-006
6.30957344480185e+006	-3.29088281621736e-005,3.21221745749068e-006
7.07945784384129e+006	-2.57966583999457e-005,3.55493986220685e-006
7.94328234724271e+006	-2.01277749715847e-005,3.61482614251018e-006
8.91250938133734e+006	-1.56204631031786e-005,3.48991714127364e-006
1.00000000000000e+007	-1.20467627610760e-005,3.24906840076351e-006
Step Information: K=400m  (Run: 3/7)
1.00000000000000e-001	7.93030438202080e-008,2.51827279629114e-004
1.12201845430196e-001	9.98366151054946e-008,2.82554848593666e-004
1.25892541179417e-001	1.25686848626093e-007,3.17031745368158e-004
1.41253754462275e-001	1.58230362659054e-007,3.55715456039457e-004
1.58489319246111e-001	1.99200216537037e-007,3.99119287986990e-004
1.77827941003892e-001	2.50778202062239e-007,4.47819180923854e-004
1.99526231496888e-001	3.15711031376296e-007,5.02461348933605e-004
2.23872113856834e-001	3.97456608606102e-007,5.63770854867753e-004
2.51188643150958e-001	5.00368174613170e-007,6.32561230824294e-004
2.81838293126445e-001	6.29926130955113e-007,7.09745272285056e-004
3.16227766016838e-001	7.93029888101309e-007,7.96347149030339e-004
3.54813389233575e-001	9.98365279204166e-007,8.93515993375470e-004
3.98107170553497e-001	1.25686710447094e-006,1.00254114581110e-003
4.46683592150963e-001	1.58230143660174e-006,1.12486926002871e-003
5.01187233627272e-001	1.99199869447352e-006,1.26212349385399e-003
5.62341325190348e-001	2.50777651962457e-006,1.41612504010390e-003
6.30957344480192e-001	3.15710159527489e-006,1.58891728216970e-003
7.07945784384137e-001	3.97455226820046e-006,1.78279289358624e-003
7.94328234724280e-001	5.00365984632216e-006,2.00032423938882e-003
8.91250938133744e-001	6.29922660073917e-006,2.24439748013176e-003
9.99999999999999e-001	7.93024387134727e-006,2.51825082752991e-003
1.12201845430196e+000	9.98356560778425e-006,2.82551745429804e-003
1.25892541179417e+000	1.25685328673474e-005,3.17027362043619e-003
1.41253754462275e+000	1.58227953704033e-005,3.55709264448401e-003
1.58489319246111e+000	1.99196398615664e-005,3.99110542166705e-003
1.77827941003892e+000	2.50772151094654e-005,4.47806827185769e-003
1.99526231496888e+000	3.15701441298837e-005,5.02443898923974e-003
2.23872113856834e+000	3.97441409477086e-005,5.63746206268237e-003
2.51188643150958e+000	5.00344085855417e-005,6.32526414097463e-003
2.81838293126445e+000	6.29887953322508e-005,7.09696092965444e-003
3.16227766016837e+000	7.92969381580155e-005,7.96277682487191e-003
3.54813389233575e+000	9.98269384723861e-005,8.93417871217384e-003
3.98107170553496e+000	1.25671512573911e-004,1.00240254803248e-002
4.46683592150962e+000	1.58206057408036e-004,1.12467349160398e-002
5.01187233627271e+000	1.99161696813849e-004,1.26184697452399e-002
5.62341325190348e+000	2.50717155415177e-004,1.41573446558552e-002
6.30957344480192e+000	3.15614284946059e-004,1.58836561552364e-002
7.07945784384136e+000	3.97303287787629e-004,1.78201370512332e-002
7.94328234724279e+000	5.00125201311365e-004,1.99922371557423e-002
8.91250938133743e+000	6.29541091739089e-004,2.24284314296982e-002
9.99999999999997e+000	7.92419736849410e-004,2.51605561290174e-002
1.12201845430196e+001	9.97398443684198e-004,2.82241724445550e-002
1.25892541179416e+001	1.25533515046626e-003,3.16589554766552e-002
1.41253754462275e+001	1.57987420498321e-003,3.55091038962125e-002
1.58489319246111e+001	1.98815329070461e-003,3.98237619721594e-002
1.77827941003892e+001	2.50168495383838e-003,4.46574403120439e-002
1.99526231496887e+001	3.14745307031814e-003,5.00704140164092e-002
2.23872113856833e+001	3.95927225431376e-003,5.61290661120682e-002
2.51188643150957e+001	4.97946629396487e-003,6.29061289429382e-002
2.81838293126444e+001	6.26092946387200e-003,7.04807551567140e-002
3.16227766016837e+001	7.86964063647375e-003,7.89383211470462e-002
3.54813389233574e+001	9.88770213417455e-003,8.83698270440451e-002
3.98107170553496e+001	1.24169693598309e-002,9.88707061123618e-002
4.46683592150961e+001	1.55833173254060e-002,1.10538790385690e-001
5.01187233627270e+001	1.95415470602743e-002,1.23471097169076e-001
5.62341325190347e+001	2.44808551967361e-002,1.37759003812152e-001
6.30957344480191e+001	3.06306555392195e-002,1.53481272242914e-001
7.07945784384135e+001	3.82663289526601e-002,1.70694286070621e-001
7.94328234724278e+001	4.77141615496939e-002,1.89418803534375e-001
8.91250938133742e+001	5.93542888829823e-002,2.09622565425711e-001
9.99999999999995e+001	7.36198919117608e-002,2.31198317356436e-001
1.12201845430196e+002	9.09902296047358e-002,2.53937335685730e-001
1.25892541179416e+002	1.11974468309895e-001,2.77499535662005e-001
1.41253754462275e+002	1.37082937512161e-001,3.01382817742750e-001
1.58489319246111e+002	1.66782830266970e-001,3.24896482970439e-001
1.77827941003891e+002	2.01437034593404e-001,3.47146049405225e-001
1.99526231496887e+002	2.41228249064705e-001,3.67038891065193e-001
2.23872113856833e+002	2.86075896163634e-001,3.83320511069277e-001
2.51188643150957e+002	3.35559728255673e-001,3.94648361092410e-001
2.81838293126444e+002	3.88869189496861e-001,3.99702822910000e-001
3.16227766016836e+002	4.44798273583667e-001,3.97323878139234e-001
3.54813389233574e+002	5.01798967689371e-001,3.86650367832795e-001
3.98107170553495e+002	5.58092315472150e-001,3.67231976589537e-001
4.46683592150961e+002	6.11818876522712e-001,3.39087071657771e-001
5.01187233627270e+002	6.61197264128204e-001,3.02693162187597e-001
5.62341325190346e+002	7.04657017511331e-001,2.58916197797003e-001
6.30957344480190e+002	7.40921746784691e-001,2.08901898417214e-001
7.07945784384134e+002	7.69035651035708e-001,1.53959877762600e-001
7.94328234724277e+002	7.88343543231219e-001,9.54677147528162e-002
8.91250938133740e+002	7.98445332529895e-001,3.48107120417467e-002
9.99999999999994e+002	7.99148464970343e-001,-2.66406383991055e-002
1.12201845430196e+003	7.90437544581072e-001,-8.75250348775615e-002
1.25892541179416e+003	7.72472017223587e-001,-1.46473455040246e-001
1.41253754462275e+003	7.45612758244233e-001,-2.02100480732490e-001
1.58489319246110e+003	7.10468245139634e-001,-2.53021482557715e-001
1.77827941003891e+003	6.67942226711789e-001,-2.97906738895714e-001
1.99526231496887e+003	6.19259647650497e-001,-3.35572592954438e-001
2.23872113856832e+003	5.65948851106494e-001,-3.65096111809659e-001
2.51188643150956e+003	5.09767585096633e-001,-3.85927506828936e-001
2.81838293126443e+003	4.52576712329357e-001,-3.97969333703342e-001
