Freq.	V(out)/V(in)
1.00000000000000e-001	9.99998277128215e-001,-1.41469672836047e-004
1.12201845430196e-001	9.99998274537821e-001,-1.58731583646275e-004
1.25892541179417e-001	9.99998271276707e-001,-1.78099766131936e-004
1.41253754462275e-001	9.99998267171210e-001,-1.99831224307235e-004
1.58489319246111e-001	9.99998262002694e-001,-2.24214321418951e-004
1.77827941003892e-001	9.99998255495917e-001,-2.51572606351530e-004
1.99526231496888e-001	9.99998247304371e-001,-2.82269106924215e-004
2.23872113856834e-001	9.99998236991825e-001,-3.16711147049651e-004
2.51188643150958e-001	9.99998224009099e-001,-3.55355751674756e-004
2.81838293126445e-001	9.99998207664815e-001,-3.98715711224111e-004
3.16227766016838e-001	9.99998187088578e-001,-4.47366386017383e-004
3.54813389233575e-001	9.99998161184631e-001,-5.01953340951244e-004
3.98107170553497e-001	9.99998128573491e-001,-5.63200911753398e-004
4.46683592150963e-001	9.99998087518496e-001,-6.31921816477704e-004
5.01187233627272e-001	9.99998035833313e-001,-7.09027939779114e-004
5.62341325190348e-001	9.99997970765517e-001,-7.95542433069206e-004
6.30957344480192e-001	9.99997888850002e-001,-8.92613291114065e-004
7.07945784384137e-001	9.99997785724460e-001,-1.00152858522773e-003
7.94328234724280e-001	9.99997655897063e-001,-1.12373355519651e-003
8.91250938133744e-001	9.99997492454007e-001,-1.26084978673362e-003
9.99999999999999e-001	9.99997286691314e-001,-1.41469672893746e-003
1.12201845430196e+000	9.99997027651311e-001,-1.58731583727725e-003
1.25892541179417e+000	9.99996701539077e-001,-1.78099766246896e-003
1.41253754462275e+000	9.99996290987796e-001,-1.99831224469456e-003
1.58489319246111e+000	9.99995774133877e-001,-2.24214321647803e-003
1.77827941003892e+000	9.99995123452582e-001,-2.51572606674275e-003
1.99526231496888e+000	9.99994304292161e-001,-2.82269107379182e-003
2.23872113856834e+000	9.99993273028380e-001,-3.16711147690672e-003
2.51188643150958e+000	9.99991974741172e-001,-3.55355752577308e-003
2.81838293126445e+000	9.99990340289617e-001,-3.98715712493821e-003
3.16227766016837e+000	9.99988282629416e-001,-4.47366387801686e-003
3.54813389233575e+000	9.99985692176650e-001,-5.01953343455260e-003
3.98107170553496e+000	9.99982430970735e-001,-5.63200915261287e-003
4.46683592150962e+000	9.99978325325465e-001,-6.31921821380935e-003
5.01187233627271e+000	9.99973156576328e-001,-7.09027946613004e-003
5.62341325190348e+000	9.99966649430660e-001,-7.95542442558542e-003
6.30957344480192e+000	9.99958457299118e-001,-8.92613304226841e-003
7.07945784384136e+000	9.99948143825563e-001,-1.00152860323207e-002
7.94328234724279e+000	9.99935159628952e-001,-1.12373357970724e-002
8.91250938133743e+000	9.99918813014204e-001,-1.26084981971803e-002
