Freq.	V(out)/V(in)
1.00000000000000e-001	-1.00036423783526e-006,1.93687556795504e-009
1.12201845430196e-001	-1.25938363385844e-006,2.58429580217247e-009
1.25892541179417e-001	-1.58546954286570e-006,3.48030152607147e-009
1.41253754462275e-001	-1.99598707775466e-006,4.72518628660950e-009
1.58489319246111e-001	-2.51279755515977e-006,6.46034305271901e-009
1.77827941003892e-001	-3.16342263867940e-006,8.88518566066534e-009
1.99526231496888e-001	-3.98250988603779e-006,1.22810468927345e-008
2.23872113856834e-001	-5.01367772825886e-006,1.70449308077181e-008
2.51188643150958e-001	-6.31183810474160e-006,2.37371840139528e-008
2.81838293126445e-001	-7.94612039867978e-006,3.31488273377874e-008
3.16227766016838e-001	-1.00035523127665e-005,4.63966578352593e-008
3.54813389233575e-001	-1.25936935938433e-005,6.50575766630691e-008
3.98107170553497e-001	-1.58544691926769e-005,9.13583240513417e-008
4.46683592150963e-001	-1.99595122160625e-005,1.28443477907503e-007
5.01187233627272e-001	-2.51274072667117e-005,1.80754001586361e-007
5.62341325190348e-001	-3.16333257095004e-005,2.54561945286529e-007
6.30957344480192e-001	-3.98236713702047e-005,3.58725718855641e-007
7.07945784384137e-001	-5.01345148374681e-005,5.05756928423704e-007
7.94328234724280e-001	-6.31147952623438e-005,7.13327306831003e-007
8.91250938133744e-001	-7.94555207982878e-005,1.00639729099585e-006
9.99999999999999e-001	-1.00026515677056e-004,1.42022269659403e-006
1.12201845430196e+000	-1.25922659684613e-004,2.00460173528072e-006
1.25892541179417e+000	-1.58522064777910e-004,2.82987405882842e-006
1.41253754462275e+000	-1.99559258927669e-004,3.99539460227852e-006
1.58489319246111e+000	-2.51217230043786e-004,5.64150316642492e-006
1.77827941003892e+000	-3.16243161165187e-004,7.96643185112155e-006
1.99526231496888e+000	-3.98093908422529e-004,1.12501873653233e-005
2.23872113856834e+000	-5.01118791617654e-004,1.58882855657213e-005
2.51188643150958e+000	-6.30789150190351e-004,2.24394025390864e-005
2.81838293126445e+000	-7.93986442422246e-004,3.16926831089566e-005
3.16227766016837e+000	-9.99363520610915e-004,4.47628157145376e-005
3.54813389233575e+000	-1.25779719400104e-003,6.32243272695855e-005
3.98107170553496e+000	-1.58295438767715e-003,8.93012753410978e-005
4.46683592150962e+000	-1.99199919558512e-003,1.26135185811308e-004
5.01187233627271e+000	-2.50647393895650e-003,1.78163503335009e-004
5.62341325190348e+000	-3.15339390765761e-003,2.51654118653419e-004
6.30957344480192e+000	-3.96660251896497e-003,3.55460300728892e-004
7.07945784384136e+000	-4.98844056103247e-003,5.02086825512069e-004
7.94328234724279e+000	-6.27178875532494e-003,7.09195382832202e-004
8.91250938133743e+000	-7.88254473828367e-003,1.00172981116592e-003
9.99999999999997e+000	-9.90258950327414e-003,1.41491536509069e-003
1.12201845430196e+001	-1.24332768924126e-002,1.99848923534255e-003
1.25892541179416e+001	-1.55994298680790e-002,2.82266276111763e-003
1.41253754462275e+001	-1.95537265354725e-002,3.98651295371021e-003
1.58489319246111e+001	-2.44811686131244e-002,5.62976803781904e-003
1.77827941003892e+001	-3.06029793579393e-002,7.94930350868609e-003
1.99526231496887e+001	-3.81786653795314e-002,1.12221055203949e-002
2.23872113856833e+001	-4.75039116836292e-002,1.58369552185179e-002
2.51188643150957e+001	-5.89001612537874e-002,2.23375146181398e-002
2.81838293126444e+001	-7.26886996710556e-002,3.14795017573012e-002
3.16227766016837e+001	-8.91371959641327e-002,4.43033849263318e-002
3.54813389233574e+001	-1.08359327121286e-001,6.22196372798611e-002
3.98107170553496e+001	-1.30138490844357e-001,8.70923090287422e-002
4.46683592150961e+001	-1.53637918933901e-001,1.21281818741939e-001
5.01187233627270e+001	-1.76963613712742e-001,1.67560357069035e-001
5.62341325190347e+001	-1.96593956915448e-001,2.28739516435764e-001
6.30957344480191e+001	-2.06836904904867e-001,3.06780145880372e-001
7.07945784384135e+001	-1.99771038734697e-001,4.01213584078560e-001
7.94328234724278e+001	-1.66455188965460e-001,5.07142389106729e-001
8.91250938133742e+001	-1.00014822021037e-001,6.14034654730716e-001
9.99999999999995e+001	2.11072266520637e-004,7.07238509440316e-001
1.12201845430196e+002	1.26353141081154e-001,7.72880969025100e-001
1.25892541179416e+002	2.64216582131864e-001,8.03483138415118e-001
1.41253754462275e+002	3.98914062875251e-001,8.00132122860247e-001
1.58489319246111e+002	5.19762825664073e-001,7.70133078199562e-001
1.77827941003891e+002	6.21788953068172e-001,7.22842780667120e-001
1.99526231496887e+002	7.04512416054759e-001,6.66571802917572e-001
2.23872113856833e+002	7.69940343042628e-001,6.07365815795275e-001
2.51188643150957e+002	8.20980156824679e-001,5.49056265986969e-001
2.81838293126444e+002	8.60539591537981e-001,4.93796797138800e-001
3.16227766016836e+002	8.91143323160491e-001,4.42630260076394e-001
3.54813389233574e+002	9.14837384634088e-001,3.95925651958812e-001
3.98107170553495e+002	9.33221994702253e-001,3.53670700885243e-001
4.46683592150961e+002	9.47526816083419e-001,3.15652922587926e-001
5.01187233627270e+002	9.58689793403818e-001,2.81566036516127e-001
5.62341325190346e+002	9.67425302278672e-001,2.51070030247027e-001
6.30957344480190e+002	9.74278453877506e-001,2.23823691027244e-001
7.07945784384134e+002	9.79666701475467e-001,1.99501262144488e-001
7.94328234724277e+002	9.83911128506731e-001,1.77800159220998e-001
8.91250938133740e+002	9.87259805413503e-001,1.58443769933361e-001
9.99999999999994e+002	9.89905212834182e-001,1.41181631644412e-001
1.12201845430196e+003	9.91997278585451e-001,1.25788277411283e-001
1.25892541179416e+003	9.93653183179695e-001,1.12061466077641e-001
1.41253754462275e+003	9.94964780257572e-001,9.98201864126306e-002
1.58489319246110e+003	9.96004248016880e-001,8.89026421468675e-002
1.77827941003891e+003	9.96828419969627e-001,7.91643226743819e-002
1.99526231496887e+003	9.97482122554073e-001,7.04762078724632e-002
2.23872113856832e+003	9.98000760404552e-001,6.27231248952369e-002
2.51188643150956e+003	9.98412327693439e-001,5.58022585838587e-002
2.81838293126443e+003	9.98738978831140e-001,4.96218089155521e-002
3.16227766016836e+003	9.98998258917623e-001,4.40997850932386e-002
3.54813389233573e+003	9.99204070154654e-001,3.91629244443864e-002
3.98107170553494e+003	9.99367432481905e-001,3.47457241282494e-002
4.46683592150960e+003	9.99497083261703e-001,3.07895741210714e-002
5.01187233627269e+003	9.99599950686708e-001,2.72419807156126e-002
5.62341325190345e+003	9.99681527856491e-001,2.40558706480511e-002
6.30957344480189e+003	9.99746168542405e-001,2.11889668529194e-002
7.07945784384133e+003	9.99797321086200e-001,1.86032276948847e-002
7.94328234724276e+003	9.99837713327679e-001,1.62643423111507e-002
8.91250938133739e+003	9.99869498687108e-001,1.41412754108470e-002
9.99999999999992e+003	9.99894371357251e-001,1.22058555164321e-002
1.12201845430195e+004	9.99913656850243e-001,1.04324011991899e-002
1.25892541179416e+004	9.99928382791251e-001,8.79738036048379e-003
1.41253754462274e+004	9.99939333773212e-001,7.27909804734783e-003
1.58489319246110e+004	9.99947093221893e-001,5.85740867013913e-003
1.77827941003891e+004	9.99952074518524e-001,4.51344881603101e-003
1.99526231496886e+004	9.99954543048885e-001,3.22938712947137e-003
