Freq.	V(out)/V(in)
1.00000000000000e-001	9.99982189441558e+000,-2.00026441030564e-006
1.12201845430196e-001	9.99982189441548e+000,-2.24433358184634e-006
1.25892541179417e-001	9.99982189441536e+000,-2.51818369644119e-006
1.41253754462275e-001	9.99982189441519e+000,-2.82544857872930e-006
1.58489319246111e-001	9.99982189441499e+000,-3.17020544701546e-006
1.77827941003892e-001	9.99982189441474e+000,-3.55702901547987e-006
1.99526231496888e-001	9.99982189441441e+000,-3.99105219785583e-006
2.23872113856834e-001	9.99982189441401e+000,-4.47803421807647e-006
2.51188643150958e-001	9.99982189441350e+000,-5.02443703167721e-006
2.81838293126445e-001	9.99982189441286e+000,-5.63751107201966e-006
3.16227766016838e-001	9.99982189441205e+000,-6.32539145913721e-006
3.54813389233575e-001	9.99982189441104e+000,-7.09720594783526e-006
3.98107170553497e-001	9.99982189440975e+000,-7.96319604745181e-006
4.46683592150963e-001	9.99982189440814e+000,-8.93485292046398e-006
5.01187233627272e-001	9.99982189440612e+000,-1.00250698632324e-005
5.62341325190348e-001	9.99982189440356e+000,-1.12483133922104e-005
6.30957344480192e-001	9.99982189440034e+000,-1.26208152058280e-005
7.07945784384137e-001	9.99982189439630e+000,-1.41607875692682e-005
7.94328234724280e-001	9.99982189439120e+000,-1.58886649801608e-005
8.91250938133744e-001	9.99982189438478e+000,-1.78273753219506e-005
9.99999999999999e-001	9.99982189437671e+000,-2.00026441029801e-005
1.12201845430196e+000	9.99982189436654e+000,-2.24433358183556e-005
1.25892541179417e+000	9.99982189435374e+000,-2.51818369642596e-005
1.41253754462275e+000	9.99982189433763e+000,-2.82544857870780e-005
1.58489319246111e+000	9.99982189431735e+000,-3.17020544698509e-005
1.77827941003892e+000	9.99982189429181e+000,-3.55702901543697e-005
1.99526231496888e+000	9.99982189425966e+000,-3.99105219779523e-005
2.23872113856834e+000	9.99982189421918e+000,-4.47803421799088e-005
2.51188643150958e+000	9.99982189416823e+000,-5.02443703155632e-005
2.81838293126445e+000	9.99982189410408e+000,-5.63751107184889e-005
3.16227766016837e+000	9.99982189402331e+000,-6.32539145889598e-005
3.54813389233575e+000	9.99982189392165e+000,-7.09720594749453e-005
3.98107170553496e+000	9.99982189379366e+000,-7.96319604697053e-005
4.46683592150962e+000	9.99982189363252e+000,-8.93485291978414e-005
5.01187233627271e+000	9.99982189342967e+000,-1.00250698622721e-004
5.62341325190348e+000	9.99982189317429e+000,-1.12483133908539e-004
6.30957344480192e+000	9.99982189285278e+000,-1.26208152039120e-004
7.07945784384136e+000	9.99982189244802e+000,-1.41607875665618e-004
7.94328234724279e+000	9.99982189193847e+000,-1.58886649763379e-004
8.91250938133743e+000	9.99982189129698e+000,-1.78273753165505e-004
9.99999999999997e+000	9.99982189048939e+000,-2.00026440953523e-004
1.12201845430196e+001	9.99982188947270e+000,-2.24433358075811e-004
1.25892541179416e+001	9.99982188819276e+000,-2.51818369490403e-004
1.41253754462275e+001	9.99982188658141e+000,-2.82544857655801e-004
1.58489319246111e+001	9.99982188455284e+000,-3.17020544394844e-004
1.77827941003892e+001	9.99982188199903e+000,-3.55702901114758e-004
1.99526231496887e+001	9.99982187878397e+000,-3.99105219173632e-004
2.23872113856833e+001	9.99982187473644e+000,-4.47803420943244e-004
2.51188643150957e+001	9.99982186964091e+000,-5.02443701946719e-004
2.81838293126444e+001	9.99982186322602e+000,-5.63751105477255e-004
3.16227766016837e+001	9.99982185515015e+000,-6.32539143477503e-004
3.54813389233574e+001	9.99982184498323e+000,-7.09720591342276e-004
3.98107170553496e+001	9.99982183218384e+000,-7.96319599884289e-004
4.46683592150961e+001	9.99982181607035e+000,-8.93485285180206e-004
5.01187233627270e+001	9.99982179578468e+000,-1.00250697662448e-003
5.62341325190347e+001	9.99982177024653e+000,-1.12483132552119e-003
6.30957344480191e+001	9.99982173809590e+000,-1.26208150123124e-003
7.07945784384135e+001	9.99982169762067e+000,-1.41607872959203e-003
7.94328234724278e+001	9.99982164666536e+000,-1.58886645940466e-003
8.91250938133742e+001	9.99982158251644e+000,-1.78273747765497e-003
9.99999999999995e+001	9.99982150175772e+000,-2.00026433325810e-003
1.12201845430196e+002	9.99982140008853e+000,-2.24433347301380e-003
1.25892541179416e+002	9.99982127209460e+000,-2.51818354271114e-003
1.41253754462275e+002	9.99982111095978e+000,-2.82544836157985e-003
1.58489319246111e+002	9.99982090810309e+000,-3.17020514028372e-003
1.77827941003891e+002	9.99982065272165e+000,-3.55702858220978e-003
1.99526231496887e+002	9.99982033121548e+000,-3.99105158584559e-003
2.23872113856833e+002	9.99981992646323e+000,-4.47803335358907e-003
2.51188643150957e+002	9.99981941691038e+000,-5.02443581055637e-003
2.81838293126444e+002	9.99981877542142e+000,-5.63750934714073e-003
3.16227766016836e+002	9.99981796783478e+000,-6.32538902268115e-003
3.54813389233574e+002	9.99981695114362e+000,-7.09720250624996e-003
3.98107170553495e+002	9.99981567120556e+000,-7.96319118608399e-003
4.46683592150961e+002	9.99981405985949e+000,-8.93484605360051e-003
5.01187233627270e+002	9.99981203129568e+000,-1.00250601635319e-002
5.62341325190346e+002	9.99980947748631e+000,-1.12482996910227e-002
6.30957344480190e+002	9.99980626243261e+000,-1.26207958523920e-002
7.07945784384134e+002	9.99980221492269e+000,-1.41607602318242e-002
7.94328234724277e+002	9.99979711941417e+000,-1.58886263650141e-002
8.91250938133740e+002	9.99979070455624e+000,-1.78273207766404e-002
9.99999999999994e+002	9.99978262874005e+000,-2.00025670557426e-002
1.12201845430196e+003	9.99977246190803e+000,-2.24432269863485e-002
1.25892541179416e+003	9.99975966265365e+000,-2.51816832351565e-002
1.41253754462275e+003	9.99974354939275e+000,-2.82542686392912e-002
1.58489319246110e+003	9.99972326407154e+000,-3.17017477410595e-002
1.77827941003891e+003	9.99969772647993e+000,-3.55698568895208e-002
1.99526231496887e+003	9.99966557673875e+000,-3.99099099770159e-002
2.23872113856832e+003	9.99962510290082e+000,-4.47794777090396e-002
2.51188643150956e+003	9.99957414981453e+000,-5.02431492241051e-002
2.81838293126443e+003	9.99951000440336e+000,-5.63733858918081e-002
3.16227766016836e+003	9.99942925126258e+000,-6.32514782258077e-002
3.54813389233573e+003	9.99932759090002e+000,-7.09686180548272e-002
3.98107170553494e+003	9.99919961096816e+000,-7.96270993955870e-002
4.46683592150960e+003	9.99903849834716e+000,-8.93416628566237e-002
5.01187233627269e+003	9.99883567681293e+000,-1.00240999850860e-001
5.62341325190345e+003	9.99858035110099e+000,-1.12469434372170e-001
6.30957344480189e+003	9.99825893325377e+000,-1.26188801539606e-001
7.07945784384133e+003	9.99785432096841e+000,-1.41580543443135e-001
7.94328234724276e+003	9.99734498993615e+000,-1.58848043901471e-001
8.91250938133739e+003	9.99670385250503e+000,-1.78219224365190e-001
9.99999999999992e+003	9.99589682294301e+000,-1.99949423072799e-001
1.12201845430195e+004	9.99488101457148e+000,-2.24324578267882e-001
1.25892541179416e+004	9.99360247541074e+000,-2.51664733200173e-001
1.41253754462274e+004	9.99199334594746e+000,-2.82327874889935e-001
1.58489319246110e+004	9.98996829430047e+000,-3.16714108997743e-001
1.77827941003891e+004	9.98742004943575e+000,-3.55270157871022e-001
1.99526231496886e+004	9.98421381113408e+000,-3.98494145501881e-001
2.23872113856832e+004	9.98018026519123e+000,-4.46940598349958e-001
2.51188643150956e+004	9.97510687315747e+000,-5.01225540108147e-001
2.81838293126443e+004	9.96872703777385e+000,-5.62031485178590e-001
3.16227766016835e+004	9.96070666936052e+000,-6.30112031350672e-001
3.54813389233572e+004	9.95062759821720e+000,-7.06295605647035e-001
3.98107170553494e+004	9.93796720084835e+000,-7.91487713939354e-001
4.46683592150959e+004	9.92207354692276e+000,-8.86670766487059e-001
5.01187233627268e+004	9.90213535239629e+000,-9.92900176313360e-001
5.62341325190344e+004	9.87714607997395e+000,-1.11129493155393e+000
6.30957344480187e+004	9.84586172046546e+000,-1.24302020460093e+000
7.07945784384131e+004	9.80675220724246e+000,-1.38925876788276e+000
7.94328234724274e+004	9.75794719030596e+000,-1.55116705152770e+000
8.91250938133737e+004	9.69717820295009e+000,-1.72981066687315e+000
9.99999999999990e+004	9.62172131505685e+000,-1.92607329133744e+000
1.12201845430195e+005	9.52834742790727e+000,-2.14053228122241e+000
1.25892541179415e+005	9.41329162693911e+000,-2.37329480317095e+000
1.41253754462274e+005	9.27225848353104e+000,-2.62379052155901e+000
1.58489319246110e+005	9.10048645034660e+000,-2.89052215926073e+000
1.77827941003891e+005	8.89290025676738e+000,-3.17078498413299e+000
1.99526231496886e+005	8.64438291548254e+000,-3.46038163357485e+000
2.23872113856832e+005	8.35019444134382e+000,-3.75337960926803e+000
2.51188643150955e+005	8.00654729061750e+000,-4.04198238240208e+000
2.81838293126442e+005	7.61131408159332e+000,-4.31660392156006e+000
3.16227766016835e+005	7.16479099494092e+000,-4.56623797989671e+000
3.54813389233572e+005	6.67037960339028e+000,-4.77918254248303e+000
3.98107170553493e+005	6.13500300630501e+000,-4.94410671814343e+000
4.46683592150958e+005	5.56907058450553e+000,-5.05133951145945e+000
5.01187233627267e+005	4.98587524913889e+000,-5.09415026775615e+000
5.62341325190343e+005	4.40044579041619e+000,-5.06973115131068e+000
6.30957344480186e+005	3.82804193540058e+000,-4.97962766359873e+000
7.07945784384130e+005	3.28260037337677e+000,-4.82949841360166e+000
7.94328234724273e+005	2.77545723148121e+000,-4.62827092000077e+000
8.91250938133736e+005	2.31457745907530e+000,-4.38691721422274e+000
