time	V(out)
0.000000000000000e+000	2.499995e-007
3.999999984016789e-011	2.255221e-006
7.999999968033578e-011	7.678023e-006
1.599999993606716e-010	2.904823e-005
3.199999987213431e-010	1.120309e-004
6.399999974426862e-010	3.947399e-004
1.000000000000000e-009	8.281198e-004
1.252000001790120e-009	1.206507e-003
1.540000003835971e-009	1.597483e-003
2.116000007927673e-009	2.264972e-003
3.268000016111078e-009	3.296850e-003
4.694625222921213e-009	4.168440e-003
6.404733691262456e-009	4.771676e-003
8.294036377417125e-009	5.074348e-003
1.057843721880955e-008	5.142936e-003
1.322290458419571e-008	5.015317e-003
1.655308759116610e-008	4.717404e-003
2.064997635017640e-008	4.291022e-003
2.617630310728655e-008	3.726239e-003
3.387830477441906e-008	3.034360e-003
4.713033796516727e-008	2.059949e-003
6.091930122425771e-008	1.274014e-003
7.815897716500750e-008	5.418298e-004
9.652138370822994e-008	-3.982772e-005
1.188592010531534e-007	-5.722897e-004
1.435350614482803e-007	-1.032824e-003
1.745920046072110e-007	-1.510682e-003
2.112649389054421e-007	-2.007570e-003
2.603506744721281e-007	-2.626243e-003
4.231720542282220e-007	-4.594424e-003
9.065582499552241e-007	-1.026522e-002
1.551073177591227e-006	-1.750722e-002
2.840103032863233e-006	-3.098076e-002
5.418162743407244e-006	-5.440531e-002
1.057428216449527e-005	-9.196986e-002
1.674501232343518e-005	-1.247353e-001
2.449714358702140e-005	-1.518001e-001
3.299520164884179e-005	-1.704488e-001
3.419599161371418e-005	-1.726052e-001
3.539678157858658e-005	-1.745662e-001
3.659757154345897e-005	-1.763316e-001
3.779836150833136e-005	-1.779016e-001
3.899915147320376e-005	-1.792761e-001
4.019994143807615e-005	-1.804551e-001
4.140073140294854e-005	-1.814386e-001
4.344873140295303e-005	-1.829801e-001
4.438476977395974e-005	-1.836448e-001
4.532080814496645e-005	-1.842678e-001
4.625684651597316e-005	-1.848491e-001
4.719288488697987e-005	-1.853885e-001
4.812892325798659e-005	-1.858862e-001
4.906496162899330e-005	-1.863422e-001
5.000100000000001e-005	-1.867564e-001
5.000110000000001e-005	-1.867800e-001
5.000130000000001e-005	-1.868693e-001
5.000160000000001e-005	-1.871190e-001
5.000200000000000e-005	-1.875906e-001
5.000212000000000e-005	-1.877748e-001
5.000228000000000e-005	-1.880083e-001
5.000260000000000e-005	-1.884352e-001
5.000324000000001e-005	-1.891519e-001
5.000452000000001e-005	-1.902399e-001
5.000593481704316e-005	-1.910399e-001
5.000773339795505e-005	-1.916059e-001
5.000961840035918e-005	-1.918604e-001
5.001202495170342e-005	-1.918931e-001
5.001469346385891e-005	-1.917414e-001
5.001821792192702e-005	-1.914130e-001
5.002241491495380e-005	-1.909757e-001
5.002833681571198e-005	-1.903815e-001
5.003647185424718e-005	-1.896784e-001
5.005177804941762e-005	-1.886156e-001
5.006604743396448e-005	-1.878595e-001
5.008376058868064e-005	-1.871705e-001
5.010242319299236e-005	-1.866295e-001
5.012583219841008e-005	-1.861171e-001
5.015142118796783e-005	-1.856752e-001
5.018429041717398e-005	-1.852025e-001
5.022289582860941e-005	-1.847077e-001
5.027588430233422e-005	-1.840699e-001
5.034574414640251e-005	-1.832516e-001
5.119605211416276e-005	-1.737647e-001
5.204636008192302e-005	-1.647783e-001
5.289666804968328e-005	-1.562923e-001
5.374697601744354e-005	-1.483067e-001
5.459728398520379e-005	-1.408215e-001
5.544759195296406e-005	-1.338368e-001
5.629789992072431e-005	-1.273525e-001
6.232718309149878e-005	-8.784444e-002
6.920226646098639e-005	-5.538966e-002
7.558193716907164e-005	-3.503019e-002
8.149420709637297e-005	-2.231673e-002
8.728075000249260e-005	-1.375062e-002
9.296098594964040e-005	-7.591757e-003
9.455017242052769e-005	-6.250774e-003
9.532871921759517e-005	-5.669339e-003
9.610726601466264e-005	-5.114845e-003
9.688581281173012e-005	-4.587290e-003
9.766435960879759e-005	-4.086676e-003
9.844290640586506e-005	-3.613003e-003
9.922145320293253e-005	-3.166269e-003
1.000000000000000e-004	-2.746476e-003
1.000001000000000e-004	-2.722848e-003
1.000003000000000e-004	-2.633531e-003
1.000006000000000e-004	-2.383744e-003
1.000010000000000e-004	-1.912129e-003
1.000012800000000e-004	-1.494402e-003
1.000016000000000e-004	-1.067459e-003
1.000022400000000e-004	-3.506392e-004
1.000035200000000e-004	7.375609e-004
1.000049344294178e-004	1.537530e-003
1.000067328137047e-004	2.103863e-003
1.000086173104481e-004	2.358573e-003
1.000110234362008e-004	2.391598e-003
1.000136910431085e-004	2.240260e-003
1.000172144738427e-004	1.912264e-003
1.000214096162438e-004	1.475550e-003
1.000273288502685e-004	8.821622e-004
1.000354583875574e-004	1.800884e-004
1.000507484000148e-004	-8.806445e-004
1.000650014921604e-004	-1.635008e-003
1.000827033758612e-004	-2.322391e-003
1.001013624938670e-004	-2.862008e-003
1.001247595209106e-004	-3.372249e-003
1.001503367322145e-004	-3.811745e-003
1.001831824590053e-004	-4.281130e-003
1.002217626394045e-004	-4.771983e-003
1.002747015868391e-004	-5.404097e-003
1.006436671834841e-004	-9.618267e-003
1.010197759589973e-004	-1.378491e-002
1.017719935100236e-004	-2.176906e-002
1.032764286120763e-004	-3.645153e-002
1.062852988161817e-004	-6.142758e-002
1.123030392243925e-004	-1.005222e-001
1.185716139379579e-004	-1.293249e-001
1.269798866071441e-004	-1.538634e-001
1.356474561743922e-004	-1.701066e-001
1.384087129734269e-004	-1.734182e-001
1.394900720588581e-004	-1.745052e-001
1.405714311442893e-004	-1.755131e-001
1.416527902297205e-004	-1.764417e-001
1.427341493151516e-004	-1.772912e-001
1.438155084005828e-004	-1.780615e-001
1.448968674860140e-004	-1.787526e-001
1.459782265714452e-004	-1.793645e-001
1.465529084898102e-004	-1.796878e-001
1.471275904081752e-004	-1.799976e-001
1.477022723265401e-004	-1.802937e-001
