time	V(out)
0.000000000000000e+000	4.825412e-035
9.999999717180685e-010	-7.436277e-013
1.999999943436137e-009	-2.089006e-012
1.599999954748910e-008	-5.641624e-011
3.199999909497819e-008	-1.254388e-010
6.399999818995639e-008	-2.534188e-010
1.279999963799128e-007	-4.968462e-010
2.559999927598256e-007	-9.482851e-010
5.119999855196511e-007	-1.560809e-009
1.023999971039302e-006	-1.922116e-009
2.047999942078604e-006	-2.897054e-009
4.095999884157209e-006	-4.737882e-008
8.191999768314418e-006	-1.892191e-007
1.638399953662884e-005	-3.329551e-007
2.000000000000000e-005	-3.426192e-007
9.485504674465530e-001	-5.252037e-007
9.993317174465530e-001	-8.533107e-007
1.000000000000000e+000	-1.030679e-006
