Freq.	V(out)/V(in)
1.00000000000000e-001	-3.82687859800924e-010,-1.00530785856969e-002
1.12201845430196e-001	-4.81775471453875e-010,-1.12797396962917e-002
1.25892541179417e-001	-6.06519383906065e-010,-1.26560760997978e-002
1.41253754462275e-001	-7.63562665275736e-010,-1.42003509442041e-002
1.58489319246111e-001	-9.61268442899205e-010,-1.59330558186294e-002
1.77827941003892e-001	-1.21016527092784e-009,-1.78771826642818e-002
1.99526231496888e-001	-1.52350781233535e-009,-2.00585288635798e-002
2.23872113856834e-001	-1.91798270098387e-009,-2.25060395557866e-002
2.51188643150958e-001	-2.41459716247943e-009,-2.52521917214836e-002
2.81838293126445e-001	-3.03979772933185e-009,-2.83334251324567e-002
3.16227766016838e-001	-3.82687861136589e-009,-3.17906258854501e-002
3.54813389233575e-001	-4.81775473740334e-009,-3.56696689360017e-002
3.98107170553497e-001	-6.06519387351637e-009,-4.00220268314740e-002
4.46683592150963e-001	-7.63562670706541e-009,-4.49054527208276e-002
5.01187233627272e-001	-9.61268451509825e-009,-5.03847467043048e-002
5.62341325190348e-001	-1.21016528425749e-008,-5.65326156920739e-002
6.30957344480192e-001	-1.52350783402945e-008,-6.34306381817215e-002
7.07945784384137e-001	-1.91798273469789e-008,-7.11703467567172e-002
7.94328234724280e-001	-2.41459721642590e-008,-7.98544426701156e-002
8.91250938133744e-001	-3.03979781489065e-008,-8.95981586305133e-002
9.99999999999999e-001	-3.82687874655129e-008,-1.00530787873934e-001
1.12201845430196e+000	-4.81775495105893e-008,-1.12797399811955e-001
1.25892541179417e+000	-6.06519421367633e-008,-1.26560765022351e-001
1.41253754462275e+000	-7.63562724711032e-008,-1.42003515126619e-001
1.58489319246111e+000	-9.61268537163067e-008,-1.59330566215975e-001
1.77827941003892e+000	-1.21016542000342e-007,-1.78771837985044e-001
1.99526231496888e+000	-1.52350804869089e-007,-2.00585304657118e-001
2.23872113856834e+000	-1.91798307536015e-007,-2.25060418188583e-001
2.51188643150958e+000	-2.41459775663979e-007,-2.52521949181574e-001
2.81838293126445e+000	-3.03979867045576e-007,-2.83334296478785e-001
3.16227766016837e+000	-3.82688010273913e-007,-3.17906322636533e-001
3.54813389233575e+000	-4.81775710057614e-007,-3.56696779454537e-001
3.98107170553496e+000	-6.06519762042759e-007,-4.00220395576640e-001
4.46683592150962e+000	-7.63563264524791e-007,-4.49054706970504e-001
5.01187233627271e+000	-9.61269392806951e-007,-5.03847720963970e-001
5.62341325190348e+000	-1.21016677615026e-006,-5.65326515593624e-001
6.30957344480192e+000	-1.52351019805461e-006,-6.34306888456215e-001
7.07945784384136e+000	-1.91798648201146e-006,-7.11704183213933e-001
7.94328234724279e+000	-2.41460315515143e-006,-7.98545437579342e-001
8.91250938133743e+000	-3.03980722709315e-006,-8.95983014209002e-001
9.99999999999997e+000	-3.82689366392364e-006,-1.00530989570801e+000
1.12201845430196e+001	-4.81777859369836e-006,-1.12797684716504e+000
1.25892541179416e+001	-6.06523168482386e-006,-1.26561167460992e+000
1.41253754462275e+001	-7.63568663410068e-006,-1.42004083586786e+000
1.58489319246111e+001	-9.61277949423195e-006,-1.59331369188153e+000
1.77827941003892e+001	-1.21018033745295e-005,-1.78772972214902e+000
1.99526231496887e+001	-1.52353169148068e-005,-2.00586906802062e+000
2.23872113856833e+001	-1.91802054678016e-005,-2.25062681283243e+000
2.51188643150957e+001	-2.41465714480001e-005,-2.52525145896240e+000
2.81838293126444e+001	-3.03989279495779e-005,-2.83338811973370e+000
3.16227766016837e+001	-3.82702928109976e-005,-3.17912700969018e+000
3.54813389233574e+001	-4.81799353396338e-005,-3.56705789136396e+000
3.98107170553496e+001	-6.06557234556133e-005,-4.00233122175445e+000
4.46683592150961e+001	-7.63622655239630e-005,-4.49072683920135e+000
5.01187233627270e+001	-9.61363522165826e-005,-5.03873114348793e+000
5.62341325190347e+001	-1.21031596403073e-004,-5.65362385180607e+000
