Freq.	V(out)/V(in)
1.00000000000000e-001	-5.85563808762643e+005,6.62914096515474e+003
1.12201845430196e-001	-5.85544380013702e+005,7.43777170892943e+003
1.25892541179417e-001	-5.85519922501096e+005,8.34496854208735e+003
1.41253754462275e-001	-5.85489135221950e+005,9.36271637707782e+003
1.58489319246111e-001	-5.85450380937224e+005,1.05044452086925e+004
1.77827941003892e-001	-5.85401599477712e+005,1.17851993169412e+004
1.99526231496888e-001	-5.85340198816522e+005,1.32218241865104e+004
2.23872113856834e-001	-5.85262918275888e+005,1.48331721035390e+004
2.51188643150958e-001	-5.85165656850374e+005,1.66403270179717e+004
2.81838293126445e-001	-5.85043257926104e+005,1.86668486442709e+004
3.16227766016838e-001	-5.84889239598646e+005,2.09390348070809e+004
3.54813389233575e-001	-5.84695457281919e+005,2.34861995711519e+004
3.98107170553497e-001	-5.84451682304295e+005,2.63409625179827e+004
4.46683592150963e-001	-5.84145076673531e+005,2.95395413587965e+004
5.01187233627272e-001	-5.83759540169906e+005,3.31220355151998e+004
5.62341325190348e-001	-5.83274901490170e+005,3.71326818329701e+004
6.30957344480192e-001	-5.82665920551477e+005,4.16200545331177e+004
7.07945784384137e-001	-5.81901064755131e+005,4.66371689642205e+004
7.94328234724280e-001	-5.80941018877688e+005,5.22414316063188e+004
8.91250938133744e-001	-5.79736887786700e+005,5.84943558062194e+004
9.99999999999999e-001	-5.78228055779598e+005,6.54609325300367e+004
1.12201845430196e+000	-5.76339679768810e+005,7.32085068125527e+004
1.25892541179417e+000	-5.73979821393725e+005,8.18049630949279e+004
1.41253754462275e+000	-5.71036273435631e+005,9.13159675251684e+004
1.58489319246111e+000	-5.67373219404779e+005,1.01800957237533e+005
1.77827941003892e+000	-5.62827995101764e+005,1.13307516447460e+005
1.99526231496888e+000	-5.57208411299636e+005,1.25863757692615e+005
2.23872113856834e+000	-5.50291357488602e+005,1.39468369199302e+005
2.51188643150958e+000	-5.41823734419143e+005,1.54078150519320e+005
2.81838293126445e+000	-5.31527124516669e+005,1.69593211648631e+005
3.16227766016837e+000	-5.19107916856108e+005,1.85840637392182e+005
3.54813389233575e+000	-5.04274690252671e+005,2.02558376310726e+005
3.98107170553496e+000	-4.86764265878149e+005,2.19382371332113e+005
4.46683592150962e+000	-4.66376656234771e+005,2.35841291900866e+005
5.01187233627271e+000	-4.43016919680168e+005,2.51364161306018e+005
5.62341325190348e+000	-4.16738754759532e+005,2.65305918548370e+005
6.30957344480192e+000	-3.87781225137840e+005,2.76993662564872e+005
7.07945784384136e+000	-3.56587730753809e+005,2.85791598537779e+005
7.94328234724279e+000	-3.23797069151033e+005,2.91176273599167e+005
8.91250938133743e+000	-2.90201399254241e+005,2.92807760943086e+005
9.99999999999997e+000	-2.56674516905244e+005,2.90580086593567e+005
1.12201845430196e+001	-2.24083128676953e+005,2.84637602560693e+005
1.25892541179416e+001	-1.93199633519642e+005,2.75352759884379e+005
1.41253754462275e+001	-1.64634392048260e+005,2.63271427264487e+005
1.58489319246111e+001	-1.38798852266378e+005,2.49039980606192e+005
1.77827941003892e+001	-1.15901462744562e+005,2.33330848549422e+005
1.99526231496887e+001	-9.59701322304176e+004,2.16780090148227e+005
2.23872113856833e+001	-7.88907038613604e+004,1.99944379591861e+005
2.51188643150957e+001	-6.44507617575961e+004,1.83278496408009e+005
2.81838293126444e+001	-5.23806632450060e+004,1.67130057819501e+005
3.16227766016837e+001	-4.23871679392104e+004,1.51746300297060e+005
3.54813389233574e+001	-3.41780877544437e+004,1.37287706047074e+005
3.98107170553496e+001	-2.74784325456096e+004,1.23844312435023e+005
4.46683592150961e+001	-2.20395676950549e+004,1.11451896486862e+005
5.01187233627270e+001	-1.76431976120525e+004,1.00106445940408e+005
5.62341325190347e+001	-1.41018532420312e+004,8.97762332788751e+004
6.30957344480191e+001	-1.12572370479467e+004,8.04113883035155e+004
7.07945784384135e+001	-8.97741874909483e+003,7.19511826786123e+004
7.94328234724278e+001	-7.15355652262433e+003,6.43293782573107e+004
8.91250938133742e+001	-5.69656878775064e+003,5.74780206261598e+004
9.99999999999995e+001	-4.53400157079236e+003,5.13300314471748e+004
