time	V(out)
0.000000000000000e+000	4.825412e-035
9.999999717180685e-010	-7.436134e-013
1.999999943436137e-009	-2.088958e-012
1.599999954748910e-008	-5.641322e-011
3.199999909497819e-008	-1.254321e-010
6.399999818995639e-008	-2.534096e-010
1.279999963799128e-007	-4.968446e-010
2.559999927598256e-007	-9.483256e-010
5.119999855196511e-007	-1.560989e-009
1.023999971039302e-006	-1.922632e-009
2.047999942078604e-006	-2.899126e-009
4.095999884157209e-006	-4.750172e-008
8.191999768314418e-006	-1.899818e-007
1.638399953662884e-005	-3.353787e-007
2.000000000000000e-005	-3.457953e-007
1.239196091739356e-003	-3.024768e-008
2.458392183478712e-003	5.871877e-008
3.677588275218067e-003	-7.889590e-008
4.896784366957423e-003	-4.430917e-007
6.115980458696779e-003	-1.033869e-006
7.335176550436135e-003	-1.851227e-006
8.554372642175488e-003	-2.895166e-006
8.770039532818958e-003	-1.826659e-006
8.985706423462428e-003	-1.011770e-006
9.201373314105898e-003	-4.505005e-007
9.417040204749368e-003	-1.428497e-007
9.632707095392839e-003	-8.881767e-008
9.848373986036309e-003	-2.884045e-007
1.006404087667978e-002	-7.416101e-007
1.022940383814800e-002	-1.057267e-006
1.039476679961622e-002	-1.197235e-006
1.056012976108444e-002	-1.161513e-006
1.072549272255266e-002	-9.501028e-007
1.089085568402088e-002	-5.630029e-007
1.105621864548910e-002	-2.138090e-010
1.122158160695732e-002	7.382645e-007
1.136920688718172e-002	-4.851604e-009
1.151683216740612e-002	-5.800520e-007
1.166445744763051e-002	-9.873367e-007
1.181208272785491e-002	-1.226706e-006
1.195970800807931e-002	-1.298159e-006
1.210733328830371e-002	-1.201697e-006
1.225495856852811e-002	-9.373184e-007
1.238163178158319e-002	1.286480e-006
1.250830499463827e-002	2.478783e-006
1.263497820769334e-002	2.639590e-006
1.276165142074842e-002	1.768902e-006
1.288832463380350e-002	-1.332825e-007
1.301499784685858e-002	-3.066962e-006
1.314167105991366e-002	-7.032138e-006
1.328738635689943e-002	-1.221374e-006
1.343310165388520e-002	2.568587e-006
1.357881695087098e-002	4.337745e-006
1.372453224785675e-002	4.086102e-006
1.387024754484252e-002	1.813656e-006
1.401596284182830e-002	-2.479592e-006
1.416167813881407e-002	-8.793643e-006
1.431171079891025e-002	-1.724760e-006
1.446174345900644e-002	2.919898e-006
1.461177611910262e-002	5.140331e-006
1.476180877919880e-002	4.936538e-006
1.491184143929499e-002	2.308521e-006
1.506187409939117e-002	-2.743723e-006
1.521190675948735e-002	-1.022019e-005
1.531316030174176e-002	-5.920888e-006
1.541441384399617e-002	-2.231784e-006
1.551566738625058e-002	8.471184e-007
1.561692092850498e-002	3.315821e-006
1.571817447075939e-002	5.174323e-006
1.581942801301380e-002	6.422624e-006
1.592068155526821e-002	7.060725e-006
1.604672763541007e-002	-1.768171e-006
1.617277371555193e-002	-7.443474e-006
1.629881979569379e-002	-9.965182e-006
1.642486587583565e-002	-9.333297e-006
1.655091195597751e-002	-5.547818e-006
1.667695803611937e-002	1.391255e-006
1.680300411626123e-002	1.148392e-005
1.689678094348187e-002	8.051571e-006
1.699055777070250e-002	4.543714e-006
1.708433459792314e-002	9.603498e-007
1.717811142514378e-002	-2.698521e-006
1.727188825236441e-002	-6.432899e-006
1.736566507958505e-002	-1.024278e-005
1.745944190680569e-002	-1.412817e-005
1.758632641049212e-002	-1.444119e-006
