time	V(out)
0.000000000000000e+000	2.249960e-007
1.142857156212683e-007	1.962761e-005
2.285714312425366e-007	4.810329e-005
3.428571468638050e-007	8.565204e-005
4.571428624850733e-007	1.322739e-004
5.714285781063416e-007	1.879687e-004
6.857142937276099e-007	2.527367e-004
8.000000093488779e-007	3.265777e-004
1.600000018697756e-006	8.087991e-004
8.497252927261046e-006	5.157530e-003
1.539450583582434e-005	9.476860e-003
2.229175874438763e-005	1.376679e-002
2.918901165295092e-005	1.802732e-002
3.608626456151421e-005	2.225844e-002
4.298351747007749e-005	2.646017e-002
4.988077037864077e-005	3.063249e-002
6.173902930721222e-005	3.771988e-002
7.359728823578365e-005	4.450869e-002
8.545554716435510e-005	5.099893e-002
9.731380609292653e-005	5.719059e-002
1.091720650214980e-004	6.308368e-002
1.210303239500694e-004	6.867820e-002
1.328885828786408e-004	7.397414e-002
1.552100114500694e-004	8.285608e-002
1.775314400214980e-004	8.987458e-002
1.998528685929266e-004	9.502964e-002
2.221742971643552e-004	9.832126e-002
2.444957257357838e-004	9.974944e-002
2.668171543072124e-004	9.931418e-002
2.891385828786410e-004	9.701549e-002
3.051821096643553e-004	9.396029e-002
3.212256364500696e-004	9.007470e-002
3.372691632357839e-004	8.535870e-002
3.533126900214982e-004	7.981229e-002
3.693562168072125e-004	7.343548e-002
3.853997435929268e-004	6.622826e-002
4.014432703786411e-004	5.819064e-002
4.119064400214982e-004	5.265973e-002
4.223696096643554e-004	4.696492e-002
4.328327793072125e-004	4.110620e-002
4.432959489500697e-004	3.508357e-002
4.537591185929268e-004	2.889704e-002
4.642222882357840e-004	2.254659e-002
4.746854578786411e-004	1.603224e-002
4.816609043072126e-004	1.167225e-002
4.886363507357840e-004	7.310791e-003
4.956117971643554e-004	2.947866e-003
5.025872435929268e-004	-1.416527e-003
5.095626900214984e-004	-5.782387e-003
5.165381364500698e-004	-1.014971e-002
5.235135828786412e-004	-1.451851e-002
5.332792078786412e-004	-2.061111e-002
5.430448328786412e-004	-2.657151e-002
5.528104578786412e-004	-3.239973e-002
5.625760828786412e-004	-3.809576e-002
5.723417078786412e-004	-4.365961e-002
5.821073328786412e-004	-4.909126e-002
5.918729578786412e-004	-5.439072e-002
6.072189400214983e-004	-6.235729e-002
6.225649221643556e-004	-6.959641e-002
6.379109043072127e-004	-7.610810e-002
6.532568864500699e-004	-8.189236e-002
6.686028685929270e-004	-8.694918e-002
6.839488507357842e-004	-9.127857e-002
6.992948328786413e-004	-9.488053e-002
7.230113507357842e-004	-9.839821e-002
7.467278685929271e-004	-9.979640e-002
7.704443864500700e-004	-9.907510e-002
7.941609043072129e-004	-9.623432e-002
8.178774221643557e-004	-9.127404e-002
8.415939400214987e-004	-8.419429e-002
8.653104578786415e-004	-7.499504e-002
8.771687168072129e-004	-6.978210e-002
8.890269757357844e-004	-6.426351e-002
9.008852346643558e-004	-5.843929e-002
9.127434935929272e-004	-5.230943e-002
9.246017525214987e-004	-4.587393e-002
9.364600114500701e-004	-3.913280e-002
9.483182703786415e-004	-3.208602e-002
9.552937168072129e-004	-2.788603e-002
9.622691632357842e-004	-2.365300e-002
9.692446096643556e-004	-1.938692e-002
9.762200560929269e-004	-1.508780e-002
9.831955025214985e-004	-1.075563e-002
9.901709489500696e-004	-6.390413e-003
9.971463953786410e-004	-1.992153e-003
1.002726752521498e-003	1.523727e-003
1.008307109664355e-003	5.027013e-003
1.013887466807212e-003	8.517707e-003
1.019467823950069e-003	1.199581e-002
1.025048181092926e-003	1.546132e-002
1.030628538235783e-003	1.891423e-002
1.036208895378640e-003	2.235455e-002
1.047369609664354e-003	2.920489e-002
1.058530323950068e-003	3.583344e-002
1.069691038235782e-003	4.224021e-002
1.080851752521496e-003	4.842519e-002
1.092012466807211e-003	5.438838e-002
1.103173181092925e-003	6.012978e-002
1.114333895378639e-003	6.564941e-002
1.132470056092924e-003	7.397470e-002
1.150606216807209e-003	8.115178e-002
1.168742377521495e-003	8.718063e-002
1.186878538235780e-003	9.206125e-002
1.205014698950065e-003	9.579366e-002
1.223150859664350e-003	9.837784e-002
1.241287020378636e-003	9.981380e-002
1.260818270378635e-003	9.961487e-002
1.280349520378635e-003	9.803821e-002
1.299880770378635e-003	9.508384e-002
1.319412020378634e-003	9.075175e-002
1.338943270378634e-003	8.504195e-002
1.358474520378633e-003	7.795442e-002
1.378005770378633e-003	6.948918e-002
