time	V(in)
0.000000000000000e+000	0.000000e+000
4.882812226379360e-014	3.067961e-009
9.765624452758720e-014	6.135923e-009
4.572265368781634e-010	2.872872e-005
9.143554175117993e-010	5.745055e-005
1.371484298145435e-009	8.617162e-005
1.828613178779071e-009	1.148919e-004
2.285742059412707e-009	1.436115e-004
2.742870940046343e-009	1.723303e-004
3.199999820679977e-009	2.010484e-004
6.399999641359955e-009	4.020155e-004
1.128281214135995e-008	7.083263e-004
1.616562464135995e-008	1.013971e-003
2.104843714135995e-008	1.318660e-003
2.593124964135995e-008	1.622109e-003
3.081406214135995e-008	1.924031e-003
3.569687464135995e-008	2.224143e-003
4.057968714135995e-008	2.522161e-003
4.546249964135995e-008	2.817805e-003
5.034531214135995e-008	3.110797e-003
5.522812464135995e-008	3.400862e-003
6.011093714135995e-008	3.687726e-003
6.499374964135995e-008	3.971118e-003
7.475937464135995e-008	4.526429e-003
8.452499964135995e-008	5.064703e-003
9.429062464135995e-008	5.583914e-003
1.089390621413600e-007	6.322736e-003
1.235874996413599e-007	7.008034e-003
1.347482139270743e-007	7.495347e-003
1.459089282127886e-007	7.940948e-003
1.570696424985029e-007	8.344836e-003
1.682303567842172e-007	8.707012e-003
1.793910710699316e-007	9.027475e-003
1.905517853556459e-007	9.306226e-003
2.017124996413602e-007	9.543264e-003
2.156633924985030e-007	9.768780e-003
2.296142853556460e-007	9.918147e-003
2.435651782127889e-007	9.991365e-003
2.575160710699318e-007	9.988434e-003
2.714669639270746e-007	9.909353e-003
2.854178567842175e-007	9.754124e-003
2.993687496413604e-007	9.522746e-003
3.168073657127890e-007	9.112298e-003
3.342459817842177e-007	8.610826e-003
3.516845978556463e-007	8.018330e-003
3.691232139270749e-007	7.334810e-003
3.865618299985035e-007	6.560266e-003
4.040004460699322e-007	5.694698e-003
4.214390621413607e-007	4.738106e-003
4.332973210699322e-007	4.059503e-003
4.451555799985037e-007	3.368174e-003
4.570138389270751e-007	2.664118e-003
4.688720978556466e-007	1.947336e-003
4.807303567842181e-007	1.217827e-003
4.925886157127895e-007	4.755923e-004
5.044468746413609e-007	-2.793690e-004
5.170026782127896e-007	-1.078053e-003
5.295584817842182e-007	-1.858239e-003
5.421142853556468e-007	-2.619926e-003
5.546700889270754e-007	-3.363115e-003
5.672258924985040e-007	-4.087806e-003
5.797816960699326e-007	-4.793998e-003
5.923374996413612e-007	-5.481692e-003
6.034982139270754e-007	-6.060258e-003
6.146589282127898e-007	-6.602890e-003
6.258196424985041e-007	-7.109588e-003
6.369803567842185e-007	-7.580350e-003
6.481410710699327e-007	-8.015178e-003
6.593017853556471e-007	-8.414071e-003
6.704624996413614e-007	-8.777030e-003
6.788330353556472e-007	-9.018017e-003
6.872035710699328e-007	-9.232794e-003
6.955741067842186e-007	-9.421362e-003
7.039446424985043e-007	-9.583721e-003
7.123151782127901e-007	-9.719870e-003
7.206857139270759e-007	-9.829810e-003
7.290562496413615e-007	-9.913540e-003
7.402169639270758e-007	-9.980408e-003
7.513776782127902e-007	-9.998699e-003
7.625383924985045e-007	-9.968413e-003
7.736991067842188e-007	-9.889550e-003
7.848598210699331e-007	-9.762111e-003
7.960205353556475e-007	-9.586094e-003
8.071812496413617e-007	-9.361501e-003
8.239223210699332e-007	-8.922473e-003
8.406633924985047e-007	-8.401869e-003
8.574044639270762e-007	-7.799689e-003
8.741455353556477e-007	-7.115933e-003
8.908866067842191e-007	-6.350601e-003
9.076276782127906e-007	-5.503693e-003
9.243687496413620e-007	-4.575209e-003
9.362270085699335e-007	-3.890629e-003
9.480852674985049e-007	-3.194312e-003
9.599435264270764e-007	-2.486259e-003
9.718017853556479e-007	-1.766470e-003
