Freq.	V(out)/V(in)
1.00000000000000e-001	-9.99980405779214e+000,2.21738894580564e-006
1.12201845430196e-001	-9.99980405779201e+000,2.48795131755908e-006
1.25892541179417e-001	-9.99980405779186e+000,2.79152729170613e-006
1.41253754462275e-001	-9.99980405779166e+000,3.13214513698180e-006
1.58489319246111e-001	-9.99980405779141e+000,3.51432464524564e-006
1.77827941003892e-001	-9.99980405779110e+000,3.94313710637369e-006
1.99526231496888e-001	-9.99980405779071e+000,4.42427260119396e-006
2.23872113856834e-001	-9.99980405779022e+000,4.96411550540193e-006
2.51188643150958e-001	-9.99980405778960e+000,5.56982920634715e-006
2.81838293126445e-001	-9.99980405778882e+000,6.24945115683109e-006
3.16227766016838e-001	-9.99980405778783e+000,7.01199952722257e-006
3.54813389233575e-001	-9.99980405778659e+000,7.86759287109942e-006
3.98107170553497e-001	-9.99980405778504e+000,8.82758439230678e-006
4.46683592150963e-001	-9.99980405778308e+000,9.90471259507430e-006
5.01187233627272e-001	-9.99980405778060e+000,1.11132703162278e-005
5.62341325190348e-001	-9.99980405777749e+000,1.24692943824500e-005
6.30957344480192e-001	-9.99980405777358e+000,1.39907784092274e-005
7.07945784384137e-001	-9.99980405776865e+000,1.56979115651951e-005
7.94328234724280e-001	-9.99980405776245e+000,1.76133464701385e-005
8.91250938133744e-001	-9.99980405775463e+000,1.97624997814947e-005
9.99999999999999e-001	-9.99980405774480e+000,2.21738894579544e-005
1.12201845430196e+000	-9.99980405773242e+000,2.48795131754467e-005
1.25892541179417e+000	-9.99980405771683e+000,2.79152729168577e-005
1.41253754462275e+000	-9.99980405769721e+000,3.13214513695304e-005
1.58489319246111e+000	-9.99980405767250e+000,3.51432464520502e-005
1.77827941003892e+000	-9.99980405764141e+000,3.94313710631632e-005
1.99526231496888e+000	-9.99980405760225e+000,4.42427260111291e-005
2.23872113856834e+000	-9.99980405755296e+000,4.96411550528746e-005
2.51188643150958e+000	-9.99980405749091e+000,5.56982920618545e-005
2.81838293126445e+000	-9.99980405741280e+000,6.24945115660268e-005
3.16227766016837e+000	-9.99980405731445e+000,7.01199952689993e-005
3.54813389233575e+000	-9.99980405719065e+000,7.86759287064369e-005
3.98107170553496e+000	-9.99980405703478e+000,8.82758439166304e-005
4.46683592150962e+000	-9.99980405683856e+000,9.90471259416500e-005
5.01187233627271e+000	-9.99980405659152e+000,1.11132703149434e-004
5.62341325190348e+000	-9.99980405628054e+000,1.24692943806357e-004
