Freq.	V(out)/V(in)
1.00000000000000e-001	-1.02078938543083e-005,-1.00530683224002e-002
1.12201845430196e-001	-1.28509736121076e-005,-1.12797251990036e-002
1.25892541179417e-001	-1.61784119182046e-005,-1.26560556218408e-002
1.41253754462275e-001	-2.03674054414040e-005,-1.42003220183330e-002
1.58489319246111e-001	-2.56410308982507e-005,-1.59330149597718e-002
1.77827941003892e-001	-3.22801241698292e-005,-1.78771249496493e-002
1.99526231496888e-001	-4.06382349936483e-005,-2.00584473395619e-002
2.23872113856834e-001	-5.11604534405586e-005,-2.25059244001704e-002
2.51188643150958e-001	-6.44071104669190e-005,-2.52520290600655e-002
2.81838293126445e-001	-8.10836142258791e-005,-2.83331953674756e-002
3.16227766016838e-001	-1.02078010305923e-004,-3.17903013344622e-002
3.54813389233575e-001	-1.28508264968554e-004,-3.56692104967451e-002
3.98107170553497e-001	-1.61781787570875e-004,-4.00213792709442e-002
4.46683592150963e-001	-2.03670359076221e-004,-4.49045380210582e-002
5.01187233627272e-001	-2.56404452300375e-004,-5.03834546632805e-002
5.62341325190348e-001	-3.22791959549739e-004,-5.65307906476073e-002
6.30957344480192e-001	-4.06367638856289e-004,-6.34280602592116e-002
7.07945784384137e-001	-5.11581219181805e-004,-7.11667053822968e-002
7.94328234724280e-001	-6.44034153062607e-004,-7.98492991594491e-002
8.91250938133744e-001	-8.10777578972256e-004,-8.95908933484675e-002
9.99999999999999e-001	-1.02068728862632e-003,-1.00520525603447e-001
1.12201845430196e+000	-1.28493555295489e-003,-1.12782904348667e-001
1.25892541179417e+000	-1.61758475154563e-003,-1.26540290310278e-001
1.41253754462275e+000	-2.03633413070967e-003,-1.41974595025658e-001
1.58489319246111e+000	-2.56345900189182e-003,-1.59289717618742e-001
1.77827941003892e+000	-3.22699167412624e-003,-1.78714141597175e-001
1.99526231496888e+000	-4.06220586606722e-003,-2.00503813080617e-001
2.23872113856834e+000	-5.11348183757858e-003,-2.24945320256221e-001
2.51188643150958e+000	-6.43664870037185e-003,-2.52359390327835e-001
2.81838293126445e+000	-8.10192410998436e-003,-2.83104713855531e-001
3.16227766016837e+000	-1.01976007166405e-002,-3.17582095863711e-001
3.54813389233575e+000	-1.28346643545199e-002,-3.56238916590819e-001
3.98107170553496e+000	-1.61525719941082e-002,-3.99573859694062e-001
