time	V(out)
0.000000000000000e+000	4.825412e-035
9.999999717180685e-010	-6.882014e-013
1.999999943436137e-009	-1.909565e-012
1.599999954748910e-008	-4.818736e-011
3.199999909497819e-008	-1.094621e-010
6.399999818995639e-008	-2.314395e-010
1.279999963799128e-007	-4.738230e-010
2.559999927598256e-007	-9.295102e-010
5.119999855196511e-007	-1.554915e-009
1.023999971039302e-006	-1.940647e-009
2.047999942078604e-006	-2.028582e-009
4.095999884157209e-006	-1.293187e-008
8.191999768314418e-006	-5.906154e-008
1.638399953662884e-005	-1.489916e-007
2.000000000000000e-005	-1.824854e-007
5.829222363793500e-005	6.274667e-007
9.658444727586998e-005	-4.584214e-007
1.348766709138050e-004	-3.440150e-006
1.731688945517400e-004	-8.317718e-006
2.114611181896750e-004	-1.509113e-005
2.497533418276100e-004	-2.376038e-005
2.880455654655448e-004	-3.432547e-005
3.323750097144888e-004	-5.923017e-005
3.757237333493169e-004	-9.985104e-005
4.212667954555558e-004	-1.711427e-004
4.663828201483877e-004	-2.899766e-004
5.129213156840674e-004	-4.968685e-004
5.591477522850116e-004	-8.454807e-004
6.062294115777698e-004	-1.448869e-003
6.530704055512376e-004	-2.472004e-003
7.004148235269491e-004	-4.236011e-003
7.475815103652056e-004	-7.238536e-003
7.950436267640746e-004	-1.240229e-002
8.423802468039295e-004	-2.121190e-002
8.898910169736794e-004	-3.633846e-002
9.373161647937238e-004	-6.218174e-002
9.848447415895004e-004	-1.065111e-001
1.032316334699831e-003	-1.823124e-001
1.079849846246675e-003	-3.122526e-001
1.127346070804601e-003	-5.345653e-001
1.174879539103867e-003	-9.155085e-001
1.222388610670406e-003	-1.567493e+000
1.269919365757030e-003	-2.684468e+000
1.317431603587304e-003	-4.596598e+000
1.364951909361166e-003	-7.722720e+000
1.402096338437180e-003	-1.113943e+001
1.410474909648577e-003	-1.220225e+001
1.414887310432720e-003	-1.280447e+001
1.416084510924565e-003	-1.295002e+001
1.416636347761929e-003	-1.299135e+001
1.417195906538539e-003	-1.301189e+001
1.418160011547428e-003	-1.303841e+001
1.419757486082077e-003	-1.307738e+001
1.429795549387966e-003	-1.328987e+001
1.440864921061386e-003	-1.346222e+001
1.463003664408226e-003	-1.369207e+001
1.486036423507556e-003	-1.382484e+001
1.510308716131153e-003	-1.388217e+001
1.536238323482050e-003	-1.388701e+001
1.572975224367552e-003	-1.383344e+001
1.606949036224975e-003	-1.373102e+001
1.648143256444245e-003	-1.354342e+001
1.688877836463917e-003	-1.331052e+001
1.710498889176031e-003	-1.316868e+001
1.721008363286378e-003	-1.307155e+001
1.724666088371624e-003	-1.300239e+001
1.725494748789528e-003	-1.297399e+001
1.727515605697768e-003	-1.288698e+001
1.729536462606008e-003	-1.279496e+001
1.731557319514247e-003	-1.269795e+001
1.733578176422487e-003	-1.259593e+001
1.735599033330726e-003	-1.248892e+001
1.737619890238966e-003	-1.237690e+001
1.739640747147205e-003	-1.225988e+001
1.744715098231695e-003	-1.193771e+001
1.752606879808034e-003	-1.134968e+001
1.766434868860909e-003	-1.000590e+001
1.792056998711978e-003	-6.542578e+000
1.817464784842844e-003	-1.522899e+000
1.845386745143446e-003	5.774618e+000
1.847269871185556e-003	6.373816e+000
1.851036123269778e-003	7.730968e+000
1.857167863291420e-003	1.007715e+001
1.863523052497541e-003	1.247497e+001
1.865314464128407e-003	1.290409e+001
1.866989834269776e-003	1.306330e+001
1.868247056432079e-003	1.314800e+001
1.869638581437162e-003	1.323236e+001
1.872110681245163e-003	1.336106e+001
1.874606993433214e-003	1.346388e+001
1.878310661031278e-003	1.357143e+001
1.882595302296876e-003	1.365128e+001
1.887491466249158e-003	1.370449e+001
1.892933943949347e-003	1.373829e+001
1.899606201816364e-003	1.376321e+001
1.906962835675651e-003	1.378151e+001
1.917896919083454e-003	1.380149e+001
1.928880639508965e-003	1.381739e+001
1.946259367462240e-003	1.383741e+001
1.967556338571402e-003	1.385668e+001
1.996493771257530e-003	1.387606e+001
2.034918414451060e-003	1.389432e+001
2.074553758042831e-003	1.390674e+001
2.126592495355329e-003	1.391513e+001
2.179756383563988e-003	1.390678e+001
2.257377811523896e-003	1.382159e+001
2.336040684558950e-003	1.363607e+001
2.343415328905986e-003	1.360096e+001
2.411240638308482e-003	1.317791e+001
2.419915889630270e-003	1.310773e+001
2.424034565591195e-003	1.305382e+001
2.425257639562468e-003	1.302112e+001
2.425987177578852e-003	1.299185e+001
2.427723499369071e-003	1.291493e+001
2.429459821159290e-003	1.283343e+001
2.431196142949508e-003	1.274735e+001
2.432932464739727e-003	1.265671e+001
2.434668786529946e-003	1.256149e+001
2.436405108320165e-003	1.246169e+001
2.438141430110383e-003	1.235732e+001
2.449871712762370e-003	1.150026e+001
2.473332278066343e-003	9.059172e+000
2.502258318448716e-003	4.591241e+000
2.528592599361609e-003	-1.498152e+000
2.554856133265351e-003	-9.497943e+000
2.556152034797411e-003	-9.971647e+000
2.560048397239072e-003	-1.155225e+001
2.562657515994153e-003	-1.262050e+001
2.563322760890826e-003	-1.282595e+001
2.563786406713342e-003	-1.289544e+001
2.564148463979627e-003	-1.292356e+001
2.564536927735393e-003	-1.295257e+001
2.565098186419907e-003	-1.299430e+001
2.565826381500368e-003	-1.304708e+001
2.569333354975755e-003	-1.327628e+001
2.573818774127690e-003	-1.350532e+001
2.580586992494644e-003	-1.374528e+001
2.587887443189279e-003	-1.389671e+001
2.594442594761292e-003	-1.396649e+001
2.602561567950310e-003	-1.401121e+001
2.612322480493429e-003	-1.404270e+001
2.624455498789867e-003	-1.406687e+001
2.648721535382741e-003	-1.409892e+001
2.670954928824049e-003	-1.411945e+001
2.703262346404794e-003	-1.413961e+001
2.738702642743162e-003	-1.415409e+001
2.783197358303156e-003	-1.416319e+001
2.831416097235087e-003	-1.415941e+001
2.891930591605960e-003	-1.411522e+001
2.962774011787310e-003	-1.395183e+001
3.044742293721841e-003	-1.359278e+001
3.076536241451398e-003	-1.339649e+001
3.101100548570621e-003	-1.322076e+001
3.112533013149631e-003	-1.312839e+001
3.119044004930402e-003	-1.304774e+001
