Freq.	V(out)/V(in)
1.00000000000000e-001	9.99828540436641e+001,-1.93899864626618e-004
1.12201845430196e-001	9.99828540435669e+001,-2.17559226397507e-004
1.25892541179417e-001	9.99828540434446e+001,-2.44105466921363e-004
1.41253754462275e-001	9.99828540432906e+001,-2.73890838681346e-004
1.58489319246111e-001	9.99828540430967e+001,-3.07310575464117e-004
1.77827941003892e-001	9.99828540428526e+001,-3.44808136872056e-004
1.99526231496888e-001	9.99828540425454e+001,-3.86881092762738e-004
2.23872113856834e-001	9.99828540421586e+001,-4.34087725698625e-004
2.51188643150958e-001	9.99828540416716e+001,-4.87054439017459e-004
2.81838293126445e-001	9.99828540410585e+001,-5.46484068823935e-004
3.16227766016838e-001	9.99828540402867e+001,-6.13165210197756e-004
3.54813389233575e-001	9.99828540393150e+001,-6.87982681371152e-004
3.98107170553497e-001	9.99828540380917e+001,-7.71929264729155e-004
4.46683592150963e-001	9.99828540365517e+001,-8.66118880428545e-004
5.01187233627272e-001	9.99828540346130e+001,-9.71801367441377e-004
5.62341325190348e-001	9.99828540321723e+001,-1.09037906815854e-003
6.30957344480192e-001	9.99828540290996e+001,-1.22342543662094e-003
7.07945784384137e-001	9.99828540252313e+001,-1.37270591729814e-003
7.94328234724280e-001	9.99828540203615e+001,-1.54020137146315e-003
8.91250938133744e-001	9.99828540142307e+001,-1.72813436201710e-003
9.99999999999999e-001	9.99828540065125e+001,-1.93899864554716e-003
1.12201845430196e+000	9.99828539967958e+001,-2.17559226295942e-003
1.25892541179417e+000	9.99828539845632e+001,-2.44105466777900e-003
1.41253754462275e+000	9.99828539691634e+001,-2.73890838478698e-003
1.58489319246111e+000	9.99828539497761e+001,-3.07310575177870e-003
1.77827941003892e+000	9.99828539253689e+001,-3.44808136467721e-003
1.99526231496888e+000	9.99828538946421e+001,-3.86881092191600e-003
2.23872113856834e+000	9.99828538559594e+001,-4.34087724891871e-003
2.51188643150958e+000	9.99828538072607e+001,-4.87054437877889e-003
2.81838293126445e+000	9.99828537459528e+001,-5.46484067214250e-003
3.16227766016837e+000	9.99828536687705e+001,-6.13165207924015e-003
3.54813389233575e+000	9.99828535716039e+001,-6.87982678159408e-003
3.98107170553496e+000	9.99828534492784e+001,-7.71929260192447e-003
4.46683592150962e+000	9.99828532952797e+001,-8.66118874020274e-003
5.01187233627271e+000	9.99828531014067e+001,-9.71801358389456e-003
5.62341325190348e+000	9.99828528573352e+001,-1.09037905537237e-002
6.30957344480192e+000	9.99828525500673e+001,-1.22342541855999e-002
7.07945784384136e+000	9.99828521632400e+001,-1.37270589178636e-002
7.94328234724279e+000	9.99828516762533e+001,-1.54020133542680e-002
8.91250938133743e+000	9.99828510631734e+001,-1.72813431111441e-002
9.99999999999997e+000	9.99828502913515e+001,-1.93899857364520e-002
1.12201845430196e+001	9.99828493196852e+001,-2.17559216139521e-002
1.25892541179416e+001	9.99828480964300e+001,-2.44105452431573e-002
1.41253754462275e+001	9.99828465564429e+001,-2.73890818213974e-002
1.58489319246111e+001	9.99828446177141e+001,-3.07310546553187e-002
1.77827941003892e+001	9.99828421769992e+001,-3.44808096034283e-002
1.99526231496887e+001	9.99828391043215e+001,-3.86881035077853e-002
2.23872113856833e+001	9.99828352360496e+001,-4.34087644216563e-002
2.51188643150957e+001	9.99828303661842e+001,-4.87054323920992e-002
2.81838293126444e+001	9.99828242353877e+001,-5.46483906245865e-002
3.16227766016837e+001	9.99828165171731e+001,-6.13164980550147e-002
3.54813389233574e+001	9.99828068005184e+001,-6.87982356985313e-002
3.98107170553496e+001	9.99827945679776e+001,-7.71928806522037e-002
4.46683592150961e+001	9.99827791681253e+001,-8.66118233193887e-002
5.01187233627270e+001	9.99827597808667e+001,-9.71800453198300e-002
5.62341325190347e+001	9.99827353737647e+001,-1.09037777675619e-001
6.30957344480191e+001	9.99827046470609e+001,-1.22342361246719e-001
7.07945784384135e+001	9.99826659644594e+001,-1.37270334061347e-001
7.94328234724278e+001	9.99826172659918e+001,-1.54019773180109e-001
8.91250938133742e+001	9.99825559583207e+001,-1.72812922086094e-001
9.99999999999995e+001	9.99824787766424e+001,-1.93899138347665e-001
1.12201845430196e+002	9.99823816108353e+001,-2.17558200502214e-001
1.25892541179416e+002	9.99822592865996e+001,-2.44104017807515e-001
1.41253754462275e+002	9.99821052899354e+001,-2.73888791756775e-001
1.58489319246111e+002	9.99819114202948e+001,-3.07307684111906e-001
1.77827941003891e+002	9.99816673539445e+001,-3.44804052738452e-001
1.99526231496887e+002	9.99813600943048e+001,-3.86875323788378e-001
2.23872113856833e+002	9.99809732800161e+001,-4.34079576837212e-001
2.51188643150957e+002	9.99804863139256e+001,-4.87042928500716e-001
2.81838293126444e+002	9.99798732666707e+001,-5.46467809886369e-001
3.16227766016836e+002	9.99791014965707e+001,-6.13142244014928e-001
3.54813389233574e+002	9.99781299124870e+001,-6.87950241090260e-001
3.98107170553495e+002	9.99769067873896e+001,-7.71883442173888e-001
4.46683592150961e+002	9.99753670065885e+001,-8.66054155343668e-001
5.01187233627270e+002	9.99734286047104e+001,-9.71709942597932e-001
5.62341325190346e+002	9.99709884079862e+001,-1.09024993028035e+000
6.30957344480190e+002	9.99679165513499e+001,-1.22324303011314e+000
7.07945784384134e+002	9.99640495808378e+001,-1.37244827120374e+000
7.94328234724277e+002	9.99591817778868e+001,-1.53983745436729e+000
8.91250938133740e+002	9.99530542497291e+001,-1.72762034690273e+000
9.99999999999994e+002	9.99453412147417e+001,-1.93827263581282e+000
1.12201845430196e+003	9.99356327679691e+001,-2.17456684636394e+000
1.25892541179416e+003	9.99234132336708e+001,-2.43960640508266e+000
1.41253754462275e+003	9.99080339911005e+001,-2.73686297356691e+000
1.58489319246110e+003	9.98886793881010e+001,-3.07021709020078e+000
1.77827941003891e+003	9.98643240248646e+001,-3.44400201459500e+000
1.99526231496887e+003	9.98336792872430e+001,-3.86305045136233e+000
2.23872113856832e+003	9.97951265257479e+001,-4.33274350376026e+000
2.51188643150956e+003	9.97466337057653e+001,-4.85906072979323e+000
2.81838293126443e+003	9.96856516952361e+001,-5.44862948351231e+000
3.16227766016836e+003	9.96089856182612e+001,-6.10877074153853e+000
3.54813389233573e+003	9.95126359174598e+001,-6.84753723193747e+000
3.98107170553494e+003	9.93916030001003e+001,-7.67373776030013e+000
4.46683592150960e+003	9.92396487158358e+001,-8.59693899134103e+000
5.01187233627269e+003	9.90490076403715e+001,-9.62743238392536e+000
5.62341325190345e+003	9.88100415704871e+001,-1.07761492609036e+001
6.30957344480189e+003	9.85108323255563e+001,-1.20545009012104e+001
7.07945784384133e+003	9.81367117392843e+001,-1.34741129333670e+001
7.94328234724276e+003	9.76697348324185e+001,-1.50464142743505e+001
8.91250938133739e+003	9.70881142595852e+001,-1.67820309540021e+001
9.99999999999992e+003	9.63656533581453e+001,-1.86899258205034e+001
1.12201845430195e+004	9.54712438999208e+001,-2.07762192244453e+001
1.25892541179416e+004	9.43685350396434e+001,-2.30426284439655e+001
1.41253754462274e+004	9.30159324187271e+001,-2.54844829795377e+001
1.58489319246110e+004	9.13671473546181e+001,-2.80883204359751e+001
1.77827941003891e+004	8.93725742640733e+001,-3.08291573918551e+001
1.99526231496886e+004	8.69818064659556e+001,-3.36676736174538e+001
2.23872113856832e+004	8.41475673125522e+001,-3.65477477604085e+001
2.51188643150956e+004	8.08311833050126e+001,-3.93950142079815e+001
2.81838293126443e+004	7.70094093151469e+001,-4.21173073798065e+001
3.16227766016835e+004	7.26819219523267e+001,-4.46079028843872e+001
3.54813389233572e+004	6.78782023313654e+001,-4.67522062539877e+001
3.98107170553494e+004	6.26620374124750e+001,-4.84378717810796e+001
4.46683592150959e+004	5.71317841562489e+001,-4.95673033621094e+001
5.01187233627268e+004	5.14151342679528e+001,-5.00703893698855e+001
5.62341325190344e+004	4.56584131777144e+001,-4.99146529875544e+001
6.30957344480187e+004	4.00120710322924e+001,-4.91102253524467e+001
7.07945784384131e+004	3.46152977838578e+001,-4.77082759478593e+001
7.94328234724274e+004	2.95830016056217e+001,-4.57933375601730e+001
8.91250938133737e+004	2.49975727614757e+001,-4.34715784229149e+001
9.99999999999990e+004	2.09063248996569e+001,-4.08578507679553e+001
1.12201845430195e+005	1.73239642387882e+001,-3.80641066941245e+001
1.25892541179415e+005	1.42384507638082e+001,-3.51908319184704e+001
1.41253754462274e+005	1.16183645391472e+001,-3.23220278612846e+001
1.58489319246110e+005	9.42020707046439e+000,-2.95233920754637e+001
1.77827941003891e+005	7.59464156801655e+000,-2.68428779553704e+001
1.99526231496886e+005	6.09124054114090e+000,-2.43127162093025e+001
2.23872113856832e+005	4.86172264784991e+000,-2.19521135962482e+001
2.51188643150955e+005	3.86189425556219e+000,-1.97700690923940e+001
2.81838293126442e+005	3.05259949900557e+000,-1.77679695922298e+001
3.16227766016835e+005	2.39997929142673e+000,-1.59418017741612e+001
3.54813389233572e+005	1.87529154054550e+000,-1.42839340617368e+001
3.98107170553493e+005	1.45448323568310e+000,-1.27844907240579e+001
4.46683592150958e+005	1.11764727164436e+000,-1.14323728337894e+001
5.01187233627267e+005	8.48449962514017e-001,-1.02159910786312e+001
5.62341325190343e+005	6.33580470655478e-001,-9.12377324547407e+000
6.30957344480186e+005	4.62249391224454e-001,-8.14450119513349e+000
7.07945784384130e+005	3.25748145433527e-001,-7.26752228361047e+000
7.94328234724273e+005	2.17071324038638e-001,-6.48287057768789e+000
8.91250938133736e+005	1.30598757292948e-001,-5.78132481579535e+000
9.99999999999989e+005	6.18314141049831e-002,-5.15442317704416e+000
1.12201845430195e+006	7.17422179373553e-003,-4.59444950095852e+000
1.25892541179415e+006	-3.62411455857185e-002,-4.09440145856738e+000
1.41253754462274e+006	-7.06999870293477e-002,-3.64794807969587e+000
1.58489319246110e+006	-9.80205641722203e-002,-3.24938176755843e+000
1.77827941003890e+006	-1.19647333470356e-001,-2.89356828647328e+000
1.99526231496886e+006	-1.36725623742111e-001,-2.57589703420289e+000
2.23872113856831e+006	-1.50161258049849e-001,-2.29223308391697e+000
2.51188643150955e+006	-1.60668001607865e-001,-2.03887190831662e+000
2.81838293126442e+006	-1.68805191513255e-001,-1.81249731003177e+000
3.16227766016834e+006	-1.75007466643113e-001,-1.61014282635251e+000
3.54813389233571e+006	-1.79608160790177e-001,-1.42915671468976e+000
3.98107170553492e+006	-1.82857642223228e-001,-1.26717052953550e+000
4.46683592150958e+006	-1.84937672479955e-001,-1.12207124988573e+000
5.01187233627266e+006	-1.85972711776846e-001,-9.91976888794289e-001
5.62341325190342e+006	-1.86039013978988e-001,-8.75215494506717e-001
6.30957344480185e+006	-1.85172324899265e-001,-7.70307413206474e-001
7.07945784384129e+006	-1.83375011844238e-001,-6.75950600000397e-001
7.94328234724271e+006	-1.80623484538326e-001,-5.91008607151664e-001
8.91250938133734e+006	-1.76876770388213e-001,-5.14500619864500e-001
1.00000000000000e+007	-1.72087003811687e-001,-4.45592542880177e-001
