Freq.	V(out)/V(in)
1.00000000000000e-001	-9.99826823470678e+001,1.96010934164651e-004
1.12201845430196e-001	-9.99826823469686e+001,2.19927885377488e-004
1.25892541179417e-001	-9.99826823468436e+001,2.46763146008842e-004
1.41253754462275e-001	-9.99826823466864e+001,2.76872803663096e-004
1.58489319246111e-001	-9.99826823464885e+001,3.10656395203705e-004
1.77827941003892e-001	-9.99826823462393e+001,3.48562208364614e-004
1.99526231496888e-001	-9.99826823459256e+001,3.91093230256120e-004
2.23872113856834e-001	-9.99826823455306e+001,4.38813821698205e-004
2.51188643150958e-001	-9.99826823450334e+001,4.92357205945716e-004
2.81838293126445e-001	-9.99826823444075e+001,5.52433871176198e-004
3.16227766016838e-001	-9.99826823436195e+001,6.19840998236296e-004
3.54813389233575e-001	-9.99826823426274e+001,6.95473038747195e-004
3.98107170553497e-001	-9.99826823413785e+001,7.80333583934098e-004
4.46683592150963e-001	-9.99826823398062e+001,8.75548681671920e-004
5.01187233627272e-001	-9.99826823378268e+001,9.82381778456258e-004
5.62341325190348e-001	-9.99826823353348e+001,1.10225048457051e-003
6.30957344480192e-001	-9.99826823321977e+001,1.23674538491271e-003
7.07945784384137e-001	-9.99826823282483e+001,1.38765114509019e-003
7.94328234724280e-001	-9.99826823232762e+001,1.55697019284724e-003
8.91250938133744e-001	-9.99826823170168e+001,1.74694928906365e-003
9.99999999999999e-001	-9.99826823091366e+001,1.96010934090507e-003
1.12201845430196e+000	-9.99826822992160e+001,2.19927885272757e-003
1.25892541179417e+000	-9.99826822867268e+001,2.46763145860905e-003
1.41253754462275e+000	-9.99826822710038e+001,2.76872803454130e-003
1.58489319246111e+000	-9.99826822512097e+001,3.10656394908533e-003
1.77827941003892e+000	-9.99826822262904e+001,3.48562207947673e-003
1.99526231496888e+000	-9.99826821949189e+001,3.91093229667175e-003
2.23872113856834e+000	-9.99826821554244e+001,4.38813820866299e-003
2.51188643150958e+000	-9.99826821057039e+001,4.92357204770618e-003
2.81838293126445e+000	-9.99826820431094e+001,5.52433869516327e-003
3.16227766016837e+000	-9.99826819643077e+001,6.19840995891667e-003
3.54813389233575e+000	-9.99826818651022e+001,6.95473035435318e-003
3.98107170553496e+000	-9.99826817402099e+001,7.80333579255948e-003
4.46683592150962e+000	-9.99826815829797e+001,8.75548675063856e-003
5.01187233627271e+000	-9.99826813850387e+001,9.82381769122121e-003
5.62341325190348e+000	-9.99826811358457e+001,1.10225047138569e-002
6.30957344480192e+000	-9.99826808221304e+001,1.23674536628865e-002
7.07945784384136e+000	-9.99826804271861e+001,1.38765111878302e-002
7.94328234724279e+000	-9.99826799299808e+001,1.55697015568738e-002
8.91250938133743e+000	-9.99826793040364e+001,1.74694923657394e-002
9.99999999999997e+000	-9.99826785160191e+001,1.96010926676139e-002
1.12201845430196e+001	-9.99826775239641e+001,2.19927874799684e-002
1.25892541179416e+001	-9.99826762750409e+001,2.46763131067296e-002
1.41253754462275e+001	-9.99826747027397e+001,2.76872782557603e-002
1.58489319246111e+001	-9.99826727233299e+001,3.10656365391404e-002
1.77827941003892e+001	-9.99826702314007e+001,3.48562166253622e-002
1.99526231496887e+001	-9.99826670942479e+001,3.91093170772764e-002
2.23872113856833e+001	-9.99826631448068e+001,4.38813737675736e-002
2.51188643150957e+001	-9.99826581727555e+001,4.92357087260830e-002
2.81838293126444e+001	-9.99826519133144e+001,5.52433703529350e-002
3.16227766016837e+001	-9.99826440331461e+001,6.19840761428850e-002
3.54813389233574e+001	-9.99826341126037e+001,6.95472704247818e-002
3.98107170553496e+001	-9.99826216233836e+001,7.80333111441231e-002
4.46683592150961e+001	-9.99826059003915e+001,8.75548014258110e-002
5.01187233627270e+001	-9.99825861063241e+001,9.82380835709379e-002
5.62341325190347e+001	-9.99825611870808e+001,1.10224915290548e-001
6.30957344480191e+001	-9.99825298156298e+001,1.23674350388644e-001
7.07945784384135e+001	-9.99824903213409e+001,1.38764848807102e-001
7.94328234724278e+001	-9.99824406010211e+001,1.55696643970977e-001
8.91250938133742e+001	-9.99823780069171e+001,1.74694398761937e-001
9.99999999999995e+001	-9.99822992057202e+001,1.96010185242188e-001
1.12201845430196e+002	-9.99822000010670e+001,2.19926827497438e-001
1.25892541179416e+002	-9.99820751100872e+001,2.46761651715413e-001
1.41253754462275e+002	-9.99819178821013e+001,2.76870692920836e-001
1.58489319246111e+002	-9.99817199444956e+001,3.10653413706901e-001
1.77827941003891e+002	-9.99814707569249e+001,3.48557996898906e-001
1.99526231496887e+002	-9.99811570501208e+001,3.91087281421300e-001
2.23872113856833e+002	-9.99807621194442e+001,4.38805418778770e-001
2.51188643150957e+002	-9.99802649356028e+001,4.92345336565381e-001
2.81838293126444e+002	-9.99796390252408e+001,5.52417105335494e-001
3.16227766016836e+002	-9.99788510618909e+001,6.19817316042934e-001
3.54813389233574e+002	-9.99778590924144e+001,6.95439587090858e-001
3.98107170553495e+002	-9.99766103047393e+001,7.80286332802061e-001
4.46683592150961e+002	-9.99750382184281e+001,8.75481938720322e-001
5.01187233627270e+002	-9.99730591491131e+001,9.82287503392065e-001
5.62341325190346e+002	-9.99705677595421e+001,1.10211732081165e+000
6.30957344480190e+002	-9.99674314619390e+001,1.23655729198744e+000
7.07945784384134e+002	-9.99634833761632e+001,1.38738546723350e+000
7.94328234724277e+002	-9.99585134727456e+001,1.55659493150284e+000
8.91250938133740e+002	-9.99522574356039e+001,1.74641925140314e+000
9.99999999999994e+002	-9.99443826615782e+001,1.95936070162231e+000
1.12201845430196e+003	-9.99344706674274e+001,2.19822147620026e+000
1.25892541179416e+003	-9.99219949930670e+001,2.46613806047318e+000
1.41253754462275e+003	-9.99062934649370e+001,2.76661888410832e+000
1.58489319246110e+003	-9.98865334066842e+001,3.10358528243021e+000
1.77827941003891e+003	-9.98616680460955e+001,3.48141564530061e+000
1.99526231496887e+003	-9.98303819573231e+001,3.90499240649802e+000
2.23872113856832e+003	-9.97910228864372e+001,4.37975118899184e+000
2.51188643150956e+003	-9.97415167294960e+001,4.91173092746691e+000
2.81838293126443e+003	-9.96792617650538e+001,5.50762307721826e+000
3.16227766016836e+003	-9.96009974988522e+001,6.17481700503236e+000
3.54813389233573e+003	-9.95026426904130e+001,6.92143723292980e+000
3.98107170553494e+003	-9.93790963690251e+001,7.75636622737915e+000
4.46683592150960e+003	-9.92239950394174e+001,8.68924371660793e+000
5.01187233627269e+003	-9.90294190482641e+001,9.73042986450848e+000
5.62341325190345e+003	-9.87855415975253e+001,1.08909147980801e+001
6.30957344480189e+003	-9.84802157252157e+001,1.21821507585591e+001
7.07945784384133e+003	-9.80984985985579e+001,1.36157753998808e+001
