time	V(out)
0.000000000000000e+000	-9.999983e-001
8.928571392894621e-014	-9.999972e-001
1.785714278578924e-013	-9.999944e-001
2.678571417868386e-013	-9.999901e-001
3.571428557157848e-013	-9.999842e-001
4.464285696447310e-013	-9.999767e-001
5.357142835736773e-013	-9.999677e-001
6.249999975026233e-013	-9.999570e-001
1.000000000000000e-012	-9.999064e-001
1.927678564125529e-011	-9.965615e-001
3.755357128251058e-011	-9.932462e-001
5.583035692376587e-011	-9.899604e-001
7.410714256502116e-011	-9.867041e-001
9.238392820627645e-011	-9.834774e-001
1.106607138475317e-010	-9.802801e-001
1.289374994887870e-010	-9.771124e-001
2.569374989773242e-010	-9.554320e-001
3.829798793928651e-010	-9.350541e-001
5.332338595045802e-010	-9.121614e-001
7.216124491952993e-010	-8.854558e-001
9.752601459903636e-010	-8.526981e-001
1.304171969177201e-009	-8.152188e-001
1.755126866063100e-009	-7.720563e-001
2.391873200533436e-009	-7.248291e-001
3.368435700533435e-009	-6.737385e-001
4.344998200533435e-009	-6.413825e-001
5.321560700533435e-009	-6.236107e-001
6.298123200533435e-009	-6.153457e-001
7.274685700533434e-009	-6.131304e-001
8.251248200533434e-009	-6.146935e-001
9.227810700533435e-009	-6.185774e-001
1.020437320053344e-008	-6.238600e-001
1.118093570053344e-008	-6.299632e-001
1.215749820053344e-008	-6.365268e-001
1.313406070053344e-008	-6.433279e-001
1.411062320053344e-008	-6.502286e-001
1.508718570053344e-008	-6.571445e-001
1.704031070053344e-008	-6.708344e-001
1.913294462910487e-008	-6.851250e-001
2.122557855767630e-008	-6.989191e-001
2.331821248624773e-008	-7.122167e-001
2.541084641481916e-008	-7.250179e-001
2.750348034339059e-008	-7.373226e-001
2.959611427196202e-008	-7.491308e-001
3.168874820053344e-008	-7.604426e-001
3.587401605767629e-008	-7.814447e-001
4.005928391481914e-008	-8.009777e-001
4.424455177196199e-008	-8.190418e-001
4.842981962910483e-008	-8.356367e-001
5.261508748624768e-008	-8.507627e-001
5.680035534339053e-008	-8.644196e-001
6.098562320053337e-008	-8.766074e-001
6.503138212910478e-008	-8.874217e-001
6.907714105767621e-008	-8.974615e-001
7.312289998624762e-008	-9.067269e-001
7.716865891481903e-008	-9.152177e-001
8.121441784339046e-008	-9.229341e-001
8.526017677196187e-008	-9.298759e-001
8.930593570053329e-008	-9.360433e-001
9.321218570053328e-008	-9.415299e-001
9.711843570053327e-008	-9.466274e-001
1.010246857005333e-007	-9.513358e-001
1.049309357005333e-007	-9.556552e-001
1.088371857005333e-007	-9.595854e-001
1.127434357005332e-007	-9.631265e-001
1.166496857005332e-007	-9.662785e-001
1.205559357005332e-007	-9.691826e-001
1.244621857005332e-007	-9.718792e-001
1.283684357005332e-007	-9.743685e-001
1.322746857005332e-007	-9.766504e-001
1.361809357005332e-007	-9.787249e-001
1.400871857005332e-007	-9.805921e-001
1.439934357005332e-007	-9.822518e-001
1.480391946291046e-007	-9.838314e-001
1.520849535576760e-007	-9.852948e-001
1.561307124862474e-007	-9.866419e-001
1.601764714148188e-007	-9.878727e-001
1.642222303433902e-007	-9.889873e-001
1.682679892719617e-007	-9.899856e-001
1.723137482005331e-007	-9.908677e-001
1.764990160576759e-007	-9.917043e-001
1.806842839148188e-007	-9.924777e-001
1.848695517719616e-007	-9.931878e-001
1.890548196291045e-007	-9.938346e-001
1.932400874862473e-007	-9.944182e-001
1.974253553433902e-007	-9.949384e-001
2.016106232005330e-007	-9.953954e-001
2.062144178433901e-007	-9.958527e-001
2.108182124862473e-007	-9.962729e-001
2.154220071291044e-007	-9.966558e-001
2.200258017719615e-007	-9.970016e-001
2.246295964148187e-007	-9.973102e-001
2.292333910576758e-007	-9.975816e-001
2.338371857005329e-007	-9.978158e-001
2.394175428433902e-007	-9.980696e-001
2.449978999862474e-007	-9.982998e-001
2.505782571291047e-007	-9.985062e-001
2.561586142719619e-007	-9.986889e-001
2.617389714148192e-007	-9.988478e-001
2.673193285576765e-007	-9.989830e-001
2.728996857005337e-007	-9.990945e-001
2.804331678433911e-007	-9.992249e-001
2.879666499862484e-007	-9.993404e-001
2.955001321291057e-007	-9.994410e-001
3.030336142719630e-007	-9.995268e-001
3.105670964148204e-007	-9.995977e-001
3.181005785576777e-007	-9.996537e-001
3.256340607005350e-007	-9.996948e-001
3.376318285576781e-007	-9.997483e-001
3.496295964148213e-007	-9.997939e-001
3.616273642719645e-007	-9.998315e-001
3.736251321291076e-007	-9.998611e-001
3.856228999862508e-007	-9.998828e-001
3.976206678433939e-007	-9.998966e-001
4.096184357005370e-007	-9.999024e-001
4.225302306004603e-007	-9.999098e-001
4.354420255003836e-007	-9.999160e-001
4.483538204003069e-007	-9.999211e-001
4.612656153002302e-007	-9.999249e-001
4.741774102001535e-007	-9.999275e-001
4.870892051000767e-007	-9.999289e-001
5.000010000000000e-007	-9.999291e-001
5.000017000000000e-007	-9.999806e-001
5.000019999999999e-007	-1.000022e+000
5.000136914285704e-007	-1.002162e+000
5.000253828571410e-007	-1.004284e+000
5.000370742857114e-007	-1.006388e+000
5.000487657142820e-007	-1.008475e+000
5.000604571428524e-007	-1.010544e+000
5.000721485714230e-007	-1.012594e+000
5.000838399999935e-007	-1.014628e+000
5.001657599999871e-007	-1.028497e+000
5.002860902206094e-007	-1.047808e+000
5.004195091217372e-007	-1.067801e+000
5.005701236629346e-007	-1.088551e+000
5.007720670346509e-007	-1.113696e+000
5.010302889253965e-007	-1.142002e+000
5.013826735706160e-007	-1.174699e+000
5.018608614493883e-007	-1.210026e+000
5.026064585879814e-007	-1.250355e+000
